drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,70.09792468166926,CCL2(18); HDAC2(10); HES1(8); CDK4(8); CHEK1(8),very_high
docetaxel,10.0,60.67119633302545,CCL2(18); HDAC2(10); HES1(8); CDK4(8); CHEK1(8),high
vinorelbine,10.0,53.0214543209502,CCL2(18); HDAC2(10); HES1(8); CDK4(8); CHEK1(8),high
vinblastine,10.0,48.52929132015727,CCL2(18); HDAC2(10); HES1(8); CDK4(8); CHEK1(8),moderate
methotrexate,10.0,44.983619061126035,CCL2(18); HDAC2(10); HES1(8); CDK4(8); CHEK1(8),moderate
temsirolimus,10.0,43.977187248684885,CCL2(18); HDAC2(10); HES1(8); CDK4(8); CHEK1(8),moderate
MG-132,10.0,34.300385448163496,CCL2(18); HDAC2(10); HES1(8); CDK4(8); CHEK1(8),moderate
lestaurtinib,10.0,29.714227027144407,CCL2(18); HDAC2(10); HES1(8); CDK4(8); CHEK1(8),low
navitoclax,10.0,28.508087458493804,CCL2(18); HDAC2(10); HES1(8); CDK4(8); CHEK1(8),low
lapatinib,10.0,27.980060310915917,CCL2(18); HDAC2(10); HES1(8); CDK4(8); CHEK1(8),low
bortezomib,10.0,27.19340824364808,CCL2(18); HDAC2(10); HES1(8); CDK4(8); CHEK1(8),low
AZD-6482,10.0,24.821307545508052,CCL2(18); HDAC2(10); HES1(8); CDK4(8); CHEK1(8),low
ABT-737,10.0,24.577356424478086,CCL2(18); HDAC2(10); HES1(8); CDK4(8); CHEK1(8),low
foretinib,10.0,23.713423997636454,CCL2(18); HDAC2(10); HES1(8); CDK4(8); CHEK1(8),low
MK-1775,10.0,23.261468976743792,CCL2(18); HDAC2(10); HES1(8); CDK4(8); CHEK1(8),low
staurosporine,10.0,22.829909378229654,CCL2(18); HDAC2(10); HES1(8); CDK4(8); CHEK1(8),low
gemcitabine,10.0,21.257804950956583,CCL2(18); HDAC2(10); HES1(8); CDK4(8); CHEK1(8),low
sorafenib,10.0,19.754702361049173,CCL2(18); HDAC2(10); HES1(8); CDK4(8); CHEK1(8),low
epirubicin,10.0,19.019122777096513,CCL2(18); HDAC2(10); HES1(8); CDK4(8); CHEK1(8),low
nilotinib,10.0,17.332964308068842,CCL2(18); HDAC2(10); HES1(8); CDK4(8); CHEK1(8),low
