drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,71.41158406047998,CCL2(23); PMAIP1(18); RB1(13); EGR1(13); HES1(12),very_high
docetaxel,10.0,61.98485571183616,CCL2(23); PMAIP1(18); RB1(13); EGR1(13); HES1(12),high
vinorelbine,10.0,53.891207610993526,CCL2(23); PMAIP1(18); RB1(13); EGR1(13); HES1(12),high
vinblastine,10.0,49.3990446102006,CCL2(23); PMAIP1(18); RB1(13); EGR1(13); HES1(12),moderate
methotrexate,10.0,45.805042090824195,CCL2(23); PMAIP1(18); RB1(13); EGR1(13); HES1(12),moderate
temsirolimus,10.0,44.300942438090125,CCL2(23); PMAIP1(18); RB1(13); EGR1(13); HES1(12),moderate
MG-132,10.0,35.53733297729415,CCL2(23); PMAIP1(18); RB1(13); EGR1(13); HES1(12),moderate
lestaurtinib,10.0,31.497340831174167,CCL2(23); PMAIP1(18); RB1(13); EGR1(13); HES1(12),moderate
lapatinib,10.0,29.548931029840364,CCL2(23); PMAIP1(18); RB1(13); EGR1(13); HES1(12),low
navitoclax,10.0,28.937819333627896,CCL2(23); PMAIP1(18); RB1(13); EGR1(13); HES1(12),low
bortezomib,10.0,28.62942387729392,CCL2(23); PMAIP1(18); RB1(13); EGR1(13); HES1(12),low
AZD-6482,10.0,26.13944230474953,CCL2(23); PMAIP1(18); RB1(13); EGR1(13); HES1(12),low
foretinib,10.0,25.45953520339751,CCL2(23); PMAIP1(18); RB1(13); EGR1(13); HES1(12),low
ABT-737,10.0,25.007088299612178,CCL2(23); PMAIP1(18); RB1(13); EGR1(13); HES1(12),low
MK-1775,10.0,24.619023571728317,CCL2(23); PMAIP1(18); RB1(13); EGR1(13); HES1(12),low
staurosporine,10.0,24.6130231822594,CCL2(23); PMAIP1(18); RB1(13); EGR1(13); HES1(12),low
gemcitabine,10.0,22.42794141287663,CCL2(23); PMAIP1(18); RB1(13); EGR1(13); HES1(12),low
sorafenib,10.0,21.532658487789917,CCL2(23); PMAIP1(18); RB1(13); EGR1(13); HES1(12),low
epirubicin,10.0,21.0661782609582,CCL2(23); PMAIP1(18); RB1(13); EGR1(13); HES1(12),low
nilotinib,10.0,19.002992501542145,CCL2(23); PMAIP1(18); RB1(13); EGR1(13); HES1(12),low
