drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,0.37,100.0,PPARG(43); GATA3(23); CCL2(20); EZH2(18); ERBB2(17),very_high
sirolimus,1.11,99.79262277350009,PPARG(43); GATA3(23); CCL2(20); EZH2(18); ERBB2(17),very_high
docetaxel,1.11,67.56819974885165,PPARG(43); GATA3(23); CCL2(20); EZH2(18); ERBB2(17),high
paclitaxel,10.0,66.87243362725505,PPARG(43); GATA3(23); CCL2(20); EZH2(18); ERBB2(17),high
vinorelbine,10.0,49.354038132025,PPARG(43); GATA3(23); CCL2(20); EZH2(18); ERBB2(17),moderate
vinblastine,10.0,48.22965393461044,PPARG(43); GATA3(23); CCL2(20); EZH2(18); ERBB2(17),moderate
NVP-BEZ235,10.0,35.364260208203675,PPARG(43); GATA3(23); CCL2(20); EZH2(18); ERBB2(17),moderate
NVP-AUY922,1.11,34.726514988584256,PPARG(43); GATA3(23); CCL2(20); EZH2(18); ERBB2(17),moderate
lestaurtinib,10.0,34.50319225347534,PPARG(43); GATA3(23); CCL2(20); EZH2(18); ERBB2(17),moderate
epirubicin,10.0,32.80516560624042,PPARG(43); GATA3(23); CCL2(20); EZH2(18); ERBB2(17),moderate
camptothecin,1.11,31.969028942761266,PPARG(43); GATA3(23); CCL2(20); EZH2(18); ERBB2(17),moderate
methotrexate,10.0,31.946230865525212,PPARG(43); GATA3(23); CCL2(20); EZH2(18); ERBB2(17),moderate
gemcitabine,10.0,30.70696048932837,PPARG(43); GATA3(23); CCL2(20); EZH2(18); ERBB2(17),moderate
staurosporine,10.0,29.66814659976733,PPARG(43); GATA3(23); CCL2(20); EZH2(18); ERBB2(17),low
GDC-0941,10.0,29.36792203879565,PPARG(43); GATA3(23); CCL2(20); EZH2(18); ERBB2(17),low
SN-38,1.11,26.664816967703334,PPARG(43); GATA3(23); CCL2(20); EZH2(18); ERBB2(17),low
tanespimycin,10.0,25.481599100605443,PPARG(43); GATA3(23); CCL2(20); EZH2(18); ERBB2(17),low
nutlin-3,10.0,24.349019304133755,PPARG(43); GATA3(23); CCL2(20); EZH2(18); ERBB2(17),low
topotecan,1.11,23.695546684141366,PPARG(43); GATA3(23); CCL2(20); EZH2(18); ERBB2(17),low
lapatinib,10.0,22.586575232714942,PPARG(43); GATA3(23); CCL2(20); EZH2(18); ERBB2(17),low
