drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,0.37,100.0,PPARG(40); CCL2(18); RB1(15); HSPB1(15); HES1(14),very_high
sirolimus,1.11,99.79408022204619,PPARG(40); CCL2(18); RB1(15); HSPB1(15); HES1(14),very_high
docetaxel,1.11,66.99521784735128,PPARG(40); CCL2(18); RB1(15); HSPB1(15); HES1(14),high
paclitaxel,10.0,66.29945172575468,PPARG(40); CCL2(18); RB1(15); HSPB1(15); HES1(14),high
vinorelbine,10.0,50.13665810652722,PPARG(40); CCL2(18); RB1(15); HSPB1(15); HES1(14),high
vinblastine,10.0,48.74329679762294,PPARG(40); CCL2(18); RB1(15); HSPB1(15); HES1(14),moderate
NVP-AUY922,1.11,34.24838506959457,PPARG(40); CCL2(18); RB1(15); HSPB1(15); HES1(14),moderate
NVP-BEZ235,10.0,34.183891443709975,PPARG(40); CCL2(18); RB1(15); HSPB1(15); HES1(14),moderate
lestaurtinib,10.0,33.3089380625716,PPARG(40); CCL2(18); RB1(15); HSPB1(15); HES1(14),moderate
methotrexate,10.0,33.1464128541797,PPARG(40); CCL2(18); RB1(15); HSPB1(15); HES1(14),moderate
epirubicin,10.0,31.741022467695952,PPARG(40); CCL2(18); RB1(15); HSPB1(15); HES1(14),moderate
camptothecin,1.11,30.918771230626895,PPARG(40); CCL2(18); RB1(15); HSPB1(15); HES1(14),moderate
gemcitabine,10.0,30.482739061816392,PPARG(40); CCL2(18); RB1(15); HSPB1(15); HES1(14),moderate
GDC-0941,10.0,28.72063106945119,PPARG(40); CCL2(18); RB1(15); HSPB1(15); HES1(14),low
staurosporine,10.0,28.457825541448543,PPARG(40); CCL2(18); RB1(15); HSPB1(15); HES1(14),low
SN-38,1.11,25.61455925556899,PPARG(40); CCL2(18); RB1(15); HSPB1(15); HES1(14),low
tanespimycin,10.0,25.52712516559931,PPARG(40); CCL2(18); RB1(15); HSPB1(15); HES1(14),low
nutlin-3,10.0,24.439782672138982,PPARG(40); CCL2(18); RB1(15); HSPB1(15); HES1(14),low
topotecan,1.11,22.645288972007016,PPARG(40); CCL2(18); RB1(15); HSPB1(15); HES1(14),low
navitoclax,10.0,21.90193537111514,PPARG(40); CCL2(18); RB1(15); HSPB1(15); HES1(14),low
