drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,72.52341711196362,RB1(46); CCL2(31); SRC(20); KDM5A(18); CDKN1B(14),very_high
docetaxel,10.0,63.096688763319804,RB1(46); CCL2(31); SRC(20); KDM5A(18); CDKN1B(14),high
vinorelbine,10.0,54.86824110162734,RB1(46); CCL2(31); SRC(20); KDM5A(18); CDKN1B(14),high
vinblastine,10.0,50.58548146734303,RB1(46); CCL2(31); SRC(20); KDM5A(18); CDKN1B(14),high
methotrexate,10.0,47.891278330320105,RB1(46); CCL2(31); SRC(20); KDM5A(18); CDKN1B(14),moderate
temsirolimus,10.0,46.56427000714434,RB1(46); CCL2(31); SRC(20); KDM5A(18); CDKN1B(14),moderate
MG-132,10.0,38.149178743299956,RB1(46); CCL2(31); SRC(20); KDM5A(18); CDKN1B(14),moderate
lestaurtinib,10.0,33.88297462964772,RB1(46); CCL2(31); SRC(20); KDM5A(18); CDKN1B(14),moderate
lapatinib,10.0,32.366899245836684,RB1(46); CCL2(31); SRC(20); KDM5A(18); CDKN1B(14),moderate
bortezomib,10.0,31.24126964329971,RB1(46); CCL2(31); SRC(20); KDM5A(18); CDKN1B(14),moderate
navitoclax,10.0,30.994732007133997,RB1(46); CCL2(31); SRC(20); KDM5A(18); CDKN1B(14),moderate
AZD-6482,10.0,28.244575113893326,RB1(46); CCL2(31); SRC(20); KDM5A(18); CDKN1B(14),low
staurosporine,10.0,27.22513402303052,RB1(46); CCL2(31); SRC(20); KDM5A(18); CDKN1B(14),low
ABT-737,10.0,27.064000973118272,RB1(46); CCL2(31); SRC(20); KDM5A(18); CDKN1B(14),low
MK-1775,10.0,26.724156380872135,RB1(46); CCL2(31); SRC(20); KDM5A(18); CDKN1B(14),low
foretinib,10.0,26.571353895700163,RB1(46); CCL2(31); SRC(20); KDM5A(18); CDKN1B(14),low
gemcitabine,10.0,25.453014119618715,RB1(46); CCL2(31); SRC(20); KDM5A(18); CDKN1B(14),low
epirubicin,10.0,23.39717281183527,RB1(46); CCL2(31); SRC(20); KDM5A(18); CDKN1B(14),low
sorafenib,10.0,23.20584374373203,RB1(46); CCL2(31); SRC(20); KDM5A(18); CDKN1B(14),low
tanespimycin,10.0,20.977982166007813,RB1(46); CCL2(31); SRC(20); KDM5A(18); CDKN1B(14),low
