drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,0.12,100.0,KDM5A(20); RB1(19); JUN(17); CCL2(15); HDAC2(15),very_high
sirolimus,0.37,100.0,KDM5A(20); RB1(19); JUN(17); CCL2(15); HDAC2(15),very_high
docetaxel,1.11,67.66794218108124,KDM5A(20); RB1(19); JUN(17); CCL2(15); HDAC2(15),high
paclitaxel,10.0,67.33605256255039,KDM5A(20); RB1(19); JUN(17); CCL2(15); HDAC2(15),high
vinorelbine,10.0,51.77401687745513,KDM5A(20); RB1(19); JUN(17); CCL2(15); HDAC2(15),high
vinblastine,10.0,50.38065556855085,KDM5A(20); RB1(19); JUN(17); CCL2(15); HDAC2(15),high
NVP-BEZ235,10.0,35.96615609447533,KDM5A(20); RB1(19); JUN(17); CCL2(15); HDAC2(15),moderate
NVP-AUY922,1.11,35.29378914014073,KDM5A(20); RB1(19); JUN(17); CCL2(15); HDAC2(15),moderate
lestaurtinib,10.0,35.091202713336955,KDM5A(20); RB1(19); JUN(17); CCL2(15); HDAC2(15),moderate
methotrexate,10.0,34.79856645258575,KDM5A(20); RB1(19); JUN(17); CCL2(15); HDAC2(15),moderate
epirubicin,10.0,33.23899746723529,KDM5A(20); RB1(19); JUN(17); CCL2(15); HDAC2(15),moderate
camptothecin,1.11,31.94034920557745,KDM5A(20); RB1(19); JUN(17); CCL2(15); HDAC2(15),moderate
gemcitabine,10.0,31.684656000684743,KDM5A(20); RB1(19); JUN(17); CCL2(15); HDAC2(15),moderate
staurosporine,10.0,30.835336783982342,KDM5A(20); RB1(19); JUN(17); CCL2(15); HDAC2(15),moderate
GDC-0941,10.0,30.076726607186256,KDM5A(20); RB1(19); JUN(17); CCL2(15); HDAC2(15),moderate
tanespimycin,10.0,27.199014363875545,KDM5A(20); RB1(19); JUN(17); CCL2(15); HDAC2(15),low
SN-38,1.11,26.63613723051954,KDM5A(20); RB1(19); JUN(17); CCL2(15); HDAC2(15),low
nutlin-3,10.0,26.14283838219396,KDM5A(20); RB1(19); JUN(17); CCL2(15); HDAC2(15),low
topotecan,1.11,23.666866946957573,KDM5A(20); RB1(19); JUN(17); CCL2(15); HDAC2(15),low
lapatinib,10.0,23.64673760990608,KDM5A(20); RB1(19); JUN(17); CCL2(15); HDAC2(15),low
