drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,68.3974014442417,PPARG(46); AKT1(23); EGR1(21); HSPB1(17); CDK4(14),high
docetaxel,10.0,58.970673095597974,PPARG(46); AKT1(23); EGR1(21); HSPB1(17); CDK4(14),high
vinorelbine,10.0,51.65397529761113,PPARG(46); AKT1(23); EGR1(21); HSPB1(17); CDK4(14),high
vinblastine,10.0,47.1618122968182,PPARG(46); AKT1(23); EGR1(21); HSPB1(17); CDK4(14),moderate
temsirolimus,10.0,43.36124398991128,PPARG(46); AKT1(23); EGR1(21); HSPB1(17); CDK4(14),moderate
methotrexate,10.0,42.725469749845466,PPARG(46); AKT1(23); EGR1(21); HSPB1(17); CDK4(14),moderate
MG-132,10.0,32.088086484297364,PPARG(46); AKT1(23); EGR1(21); HSPB1(17); CDK4(14),moderate
lestaurtinib,10.0,29.152923015967293,PPARG(46); AKT1(23); EGR1(21); HSPB1(17); CDK4(14),low
navitoclax,10.0,27.405358946164302,PPARG(46); AKT1(23); EGR1(21); HSPB1(17); CDK4(14),low
lapatinib,10.0,25.776550247231842,PPARG(46); AKT1(23); EGR1(21); HSPB1(17); CDK4(14),low
bortezomib,10.0,24.93525893236752,PPARG(46); AKT1(23); EGR1(21); HSPB1(17); CDK4(14),low
ABT-737,10.0,23.474627912148584,PPARG(46); AKT1(23); EGR1(21); HSPB1(17); CDK4(14),low
AZD-6482,10.0,22.563158234227487,PPARG(46); AKT1(23); EGR1(21); HSPB1(17); CDK4(14),low
staurosporine,10.0,22.213966119456057,PPARG(46); AKT1(23); EGR1(21); HSPB1(17); CDK4(14),low
foretinib,10.0,21.779066733571245,PPARG(46); AKT1(23); EGR1(21); HSPB1(17); CDK4(14),low
MK-1775,10.0,20.67027545137483,PPARG(46); AKT1(23); EGR1(21); HSPB1(17); CDK4(14),low
gemcitabine,10.0,18.999655639676018,PPARG(46); AKT1(23); EGR1(21); HSPB1(17); CDK4(14),low
sorafenib,10.0,18.396012237892123,PPARG(46); AKT1(23); EGR1(21); HSPB1(17); CDK4(14),low
epirubicin,10.0,18.38278291048221,PPARG(46); AKT1(23); EGR1(21); HSPB1(17); CDK4(14),low
nilotinib,10.0,15.919634937315315,PPARG(46); AKT1(23); EGR1(21); HSPB1(17); CDK4(14),low
