drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,70.09987988215954,RB1(28); EGR1(15); HSPB1(11); HES1(9); AKT1(9),very_high
docetaxel,10.0,60.67315153351575,RB1(28); EGR1(15); HSPB1(11); HES1(9); AKT1(9),high
vinorelbine,10.0,53.173495806954875,RB1(28); EGR1(15); HSPB1(11); HES1(9); AKT1(9),high
vinblastine,10.0,48.68133280616195,RB1(28); EGR1(15); HSPB1(11); HES1(9); AKT1(9),moderate
temsirolimus,10.0,44.613183651689766,RB1(28); EGR1(15); HSPB1(11); HES1(9); AKT1(9),moderate
methotrexate,10.0,44.00324280510778,RB1(28); EGR1(15); HSPB1(11); HES1(9); AKT1(9),moderate
MG-132,10.0,33.779086480295994,RB1(28); EGR1(15); HSPB1(11); HES1(9); AKT1(9),moderate
lestaurtinib,10.0,30.78928376436944,RB1(28); EGR1(15); HSPB1(11); HES1(9); AKT1(9),moderate
navitoclax,10.0,29.562747587878118,RB1(28); EGR1(15); HSPB1(11); HES1(9); AKT1(9),low
lapatinib,10.0,27.261427793239935,RB1(28); EGR1(15); HSPB1(11); HES1(9); AKT1(9),low
bortezomib,10.0,26.626258928366138,RB1(28); EGR1(15); HSPB1(11); HES1(9); AKT1(9),low
ABT-737,10.0,25.6320165538624,RB1(28); EGR1(15); HSPB1(11); HES1(9); AKT1(9),low
AZD-6482,10.0,24.10407194471173,RB1(28); EGR1(15); HSPB1(11); HES1(9); AKT1(9),low
staurosporine,10.0,23.90496611545468,RB1(28); EGR1(15); HSPB1(11); HES1(9); AKT1(9),low
foretinib,10.0,23.819615136226684,RB1(28); EGR1(15); HSPB1(11); HES1(9); AKT1(9),low
MK-1775,10.0,22.54423337594747,RB1(28); EGR1(15); HSPB1(11); HES1(9); AKT1(9),low
gemcitabine,10.0,20.277428694938354,RB1(28); EGR1(15); HSPB1(11); HES1(9); AKT1(9),low
epirubicin,10.0,20.073782906480833,RB1(28); EGR1(15); HSPB1(11); HES1(9); AKT1(9),low
sorafenib,10.0,19.860893499639403,RB1(28); EGR1(15); HSPB1(11); HES1(9); AKT1(9),low
nilotinib,10.0,17.439155446659072,RB1(28); EGR1(15); HSPB1(11); HES1(9); AKT1(9),low
