drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,1.11,100.0,PPARG(61); EGR1(38); CCL2(35); RB1(26); AXIN1(24),very_high
sirolimus,1.11,98.93668435425955,PPARG(61); EGR1(38); CCL2(35); RB1(26); AXIN1(24),very_high
docetaxel,1.11,65.65491917413658,PPARG(61); EGR1(38); CCL2(35); RB1(26); AXIN1(24),high
paclitaxel,10.0,65.32302955560569,PPARG(61); EGR1(38); CCL2(35); RB1(26); AXIN1(24),high
vinorelbine,10.0,49.52753110698643,PPARG(61); EGR1(38); CCL2(35); RB1(26); AXIN1(24),moderate
vinblastine,10.0,48.403146909571866,PPARG(61); EGR1(38); CCL2(35); RB1(26); AXIN1(24),moderate
NVP-AUY922,1.11,34.609404318195246,PPARG(61); EGR1(38); CCL2(35); RB1(26); AXIN1(24),moderate
methotrexate,10.0,34.52460569060217,PPARG(61); EGR1(38); CCL2(35); RB1(26); AXIN1(24),moderate
NVP-BEZ235,10.0,34.37744317277885,PPARG(61); EGR1(38); CCL2(35); RB1(26); AXIN1(24),moderate
lestaurtinib,10.0,33.09889922687987,PPARG(61); EGR1(38); CCL2(35); RB1(26); AXIN1(24),moderate
epirubicin,10.0,32.71562473935783,PPARG(61); EGR1(38); CCL2(35); RB1(26); AXIN1(24),moderate
camptothecin,1.11,31.31232330623513,PPARG(61); EGR1(38); CCL2(35); RB1(26); AXIN1(24),moderate
gemcitabine,10.0,31.27517720559056,PPARG(61); EGR1(38); CCL2(35); RB1(26); AXIN1(24),moderate
staurosporine,10.0,29.966129430230307,PPARG(61); EGR1(38); CCL2(35); RB1(26); AXIN1(24),low
GDC-0941,10.0,29.399175280442073,PPARG(61); EGR1(38); CCL2(35); RB1(26); AXIN1(24),low
tanespimycin,10.0,26.92505360189196,PPARG(61); EGR1(38); CCL2(35); RB1(26); AXIN1(24),low
SN-38,1.11,26.00811133117722,PPARG(61); EGR1(38); CCL2(35); RB1(26); AXIN1(24),low
nutlin-3,10.0,25.86204412500907,PPARG(61); EGR1(38); CCL2(35); RB1(26); AXIN1(24),low
navitoclax,10.0,23.262638612760956,PPARG(61); EGR1(38); CCL2(35); RB1(26); AXIN1(24),low
topotecan,1.11,23.038841047615243,PPARG(61); EGR1(38); CCL2(35); RB1(26); AXIN1(24),low
