drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,69.8785440245041,CCL2(23); HDAC2(17); PMAIP1(15); HSPB1(8); PARP1(8),high
docetaxel,10.0,60.4518156758603,CCL2(23); HDAC2(17); PMAIP1(15); HSPB1(8); PARP1(8),high
vinorelbine,10.0,52.80207366378505,CCL2(23); HDAC2(17); PMAIP1(15); HSPB1(8); PARP1(8),high
vinblastine,10.0,48.309910662992124,CCL2(23); HDAC2(17); PMAIP1(15); HSPB1(8); PARP1(8),moderate
methotrexate,10.0,44.718388056546424,CCL2(23); HDAC2(17); PMAIP1(15); HSPB1(8); PARP1(8),moderate
temsirolimus,10.0,43.75780659151974,CCL2(23); HDAC2(17); PMAIP1(15); HSPB1(8); PARP1(8),moderate
MG-132,10.0,34.08100479099835,CCL2(23); HDAC2(17); PMAIP1(15); HSPB1(8); PARP1(8),moderate
lestaurtinib,10.0,29.494846369979275,CCL2(23); HDAC2(17); PMAIP1(15); HSPB1(8); PARP1(8),low
navitoclax,10.0,28.288706801328672,CCL2(23); HDAC2(17); PMAIP1(15); HSPB1(8); PARP1(8),low
lapatinib,10.0,27.33033476034523,CCL2(23); HDAC2(17); PMAIP1(15); HSPB1(8); PARP1(8),low
bortezomib,10.0,26.928177239068482,CCL2(23); HDAC2(17); PMAIP1(15); HSPB1(8); PARP1(8),low
AZD-6482,10.0,24.556076540928455,CCL2(23); HDAC2(17); PMAIP1(15); HSPB1(8); PARP1(8),low
ABT-737,10.0,24.357975767312954,CCL2(23); HDAC2(17); PMAIP1(15); HSPB1(8); PARP1(8),low
foretinib,10.0,23.448192993056857,CCL2(23); HDAC2(17); PMAIP1(15); HSPB1(8); PARP1(8),low
MK-1775,10.0,22.6117434261731,CCL2(23); HDAC2(17); PMAIP1(15); HSPB1(8); PARP1(8),low
staurosporine,10.0,22.610528721064522,CCL2(23); HDAC2(17); PMAIP1(15); HSPB1(8); PARP1(8),low
gemcitabine,10.0,20.992573946376986,CCL2(23); HDAC2(17); PMAIP1(15); HSPB1(8); PARP1(8),low
sorafenib,10.0,19.10497681047848,CCL2(23); HDAC2(17); PMAIP1(15); HSPB1(8); PARP1(8),low
epirubicin,10.0,18.79974211993138,CCL2(23); HDAC2(17); PMAIP1(15); HSPB1(8); PARP1(8),low
nilotinib,10.0,17.067733303489245,CCL2(23); HDAC2(17); PMAIP1(15); HSPB1(8); PARP1(8),low
