drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,69.01416942398563,HES1(17); ABL1(9); PPARG(8); CCND1(7); MYC(6),high
docetaxel,10.0,59.58744107534187,HES1(17); ABL1(9); PPARG(8); CCND1(7); MYC(6),high
vinorelbine,10.0,51.93769906326663,HES1(17); ABL1(9); PPARG(8); CCND1(7); MYC(6),high
vinblastine,10.0,47.4455360624737,HES1(17); ABL1(9); PPARG(8); CCND1(7); MYC(6),moderate
temsirolimus,10.0,44.29791160159824,HES1(17); ABL1(9); PPARG(8); CCND1(7); MYC(6),moderate
methotrexate,10.0,43.728384316787604,HES1(17); ABL1(9); PPARG(8); CCND1(7); MYC(6),moderate
MG-132,10.0,33.045150703825065,HES1(17); ABL1(9); PPARG(8); CCND1(7); MYC(6),moderate
lestaurtinib,10.0,30.08959062765425,HES1(17); ABL1(9); PPARG(8); CCND1(7); MYC(6),moderate
navitoclax,10.0,28.883451059003633,HES1(17); ABL1(9); PPARG(8); CCND1(7); MYC(6),low
lapatinib,10.0,26.779464814173956,HES1(17); ABL1(9); PPARG(8); CCND1(7); MYC(6),low
bortezomib,10.0,25.938173499309634,HES1(17); ABL1(9); PPARG(8); CCND1(7); MYC(6),low
ABT-737,10.0,24.952720024987908,HES1(17); ABL1(9); PPARG(8); CCND1(7); MYC(6),low
AZD-6482,10.0,23.566072801169607,HES1(17); ABL1(9); PPARG(8); CCND1(7); MYC(6),low
staurosporine,10.0,23.150633731143007,HES1(17); ABL1(9); PPARG(8); CCND1(7); MYC(6),low
foretinib,10.0,22.62966873995287,HES1(17); ABL1(9); PPARG(8); CCND1(7); MYC(6),low
MK-1775,10.0,22.006234232405355,HES1(17); ABL1(9); PPARG(8); CCND1(7); MYC(6),low
gemcitabine,10.0,20.002570206618145,HES1(17); ABL1(9); PPARG(8); CCND1(7); MYC(6),low
epirubicin,10.0,19.339847130009872,HES1(17); ABL1(9); PPARG(8); CCND1(7); MYC(6),low
sorafenib,10.0,18.725586350962065,HES1(17); ABL1(9); PPARG(8); CCND1(7); MYC(6),low
nilotinib,10.0,16.24920905038525,HES1(17); ABL1(9); PPARG(8); CCND1(7); MYC(6),low
