drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,0.37,100.0,GATA3(22); IKBKB(17); KDM5A(16); JUN(13); CASP3(11),very_high
sirolimus,1.11,100.0,GATA3(22); IKBKB(17); KDM5A(16); JUN(13); CASP3(11),very_high
docetaxel,1.11,67.85331531160337,GATA3(22); IKBKB(17); KDM5A(16); JUN(13); CASP3(11),high
paclitaxel,10.0,67.15754919000676,GATA3(22); IKBKB(17); KDM5A(16); JUN(13); CASP3(11),high
vinorelbine,10.0,51.188631122103935,GATA3(22); IKBKB(17); KDM5A(16); JUN(13); CASP3(11),high
vinblastine,10.0,49.79526981319965,GATA3(22); IKBKB(17); KDM5A(16); JUN(13); CASP3(11),moderate
NVP-AUY922,1.11,35.099649038645346,GATA3(22); IKBKB(17); KDM5A(16); JUN(13); CASP3(11),moderate
NVP-BEZ235,10.0,35.059270075392114,GATA3(22); IKBKB(17); KDM5A(16); JUN(13); CASP3(11),moderate
lestaurtinib,10.0,34.18431669425374,GATA3(22); IKBKB(17); KDM5A(16); JUN(13); CASP3(11),moderate
methotrexate,10.0,33.18674036418301,GATA3(22); IKBKB(17); KDM5A(16); JUN(13); CASP3(11),moderate
epirubicin,10.0,32.46222250051137,GATA3(22); IKBKB(17); KDM5A(16); JUN(13); CASP3(11),moderate
camptothecin,1.11,31.770323766713425,GATA3(22); IKBKB(17); KDM5A(16); JUN(13); CASP3(11),moderate
gemcitabine,10.0,31.20393909463182,GATA3(22); IKBKB(17); KDM5A(16); JUN(13); CASP3(11),moderate
staurosporine,10.0,29.911169597469087,GATA3(22); IKBKB(17); KDM5A(16); JUN(13); CASP3(11),low
GDC-0941,10.0,29.596009701133333,GATA3(22); IKBKB(17); KDM5A(16); JUN(13); CASP3(11),low
SN-38,1.11,26.46611179165553,GATA3(22); IKBKB(17); KDM5A(16); JUN(13); CASP3(11),low
tanespimycin,10.0,26.385222629851395,GATA3(22); IKBKB(17); KDM5A(16); JUN(13); CASP3(11),low
nutlin-3,10.0,25.30832780861982,GATA3(22); IKBKB(17); KDM5A(16); JUN(13); CASP3(11),low
topotecan,1.11,23.49684150809356,GATA3(22); IKBKB(17); KDM5A(16); JUN(13); CASP3(11),low
lapatinib,10.0,22.852681475752163,GATA3(22); IKBKB(17); KDM5A(16); JUN(13); CASP3(11),low
