drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,68.35283320369615,RB1(35); PPARG(26); CHEK1(25); AKT1(25); CCND1(22),high
docetaxel,10.0,58.92610485505243,RB1(35); PPARG(26); CHEK1(25); AKT1(25); CCND1(22),high
vinorelbine,10.0,51.244157431867166,RB1(35); PPARG(26); CHEK1(25); AKT1(25); CCND1(22),high
vinblastine,10.0,46.75199443107424,RB1(35); PPARG(26); CHEK1(25); AKT1(25); CCND1(22),moderate
temsirolimus,10.0,43.09875273382111,RB1(35); PPARG(26); CHEK1(25); AKT1(25); CCND1(22),moderate
methotrexate,10.0,42.93424302965812,RB1(35); PPARG(26); CHEK1(25); AKT1(25); CCND1(22),moderate
MG-132,10.0,32.29685976411004,RB1(35); PPARG(26); CHEK1(25); AKT1(25); CCND1(22),moderate
lestaurtinib,10.0,29.361696295779947,RB1(35); PPARG(26); CHEK1(25); AKT1(25); CCND1(22),low
navitoclax,10.0,27.6638955833858,RB1(35); PPARG(26); CHEK1(25); AKT1(25); CCND1(22),low
lapatinib,10.0,25.600828981053393,RB1(35); PPARG(26); CHEK1(25); AKT1(25); CCND1(22),low
bortezomib,10.0,25.144032212180168,RB1(35); PPARG(26); CHEK1(25); AKT1(25); CCND1(22),low
ABT-737,10.0,23.73316454937008,RB1(35); PPARG(26); CHEK1(25); AKT1(25); CCND1(22),low
AZD-6482,10.0,22.816724674056456,RB1(35); PPARG(26); CHEK1(25); AKT1(25); CCND1(22),low
staurosporine,10.0,22.422739399268703,RB1(35); PPARG(26); CHEK1(25); AKT1(25); CCND1(22),low
foretinib,10.0,21.89027676113896,RB1(35); PPARG(26); CHEK1(25); AKT1(25); CCND1(22),low
MK-1775,10.0,20.8598038103948,RB1(35); PPARG(26); CHEK1(25); AKT1(25); CCND1(22),low
gemcitabine,10.0,19.208428919488664,RB1(35); PPARG(26); CHEK1(25); AKT1(25); CCND1(22),low
epirubicin,10.0,18.591556190294856,RB1(35); PPARG(26); CHEK1(25); AKT1(25); CCND1(22),low
sorafenib,10.0,17.270522505027188,RB1(35); PPARG(26); CHEK1(25); AKT1(25); CCND1(22),low
nilotinib,10.0,15.50981707157133,RB1(35); PPARG(26); CHEK1(25); AKT1(25); CCND1(22),low
