drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,1.11,100.0,JUN(41); HES1(38); CCL2(29); EGR1(28); PPARG(24),very_high
sirolimus,1.11,98.8478430971337,JUN(41); HES1(38); CCL2(29); EGR1(28); PPARG(24),very_high
paclitaxel,10.0,66.11344977025078,JUN(41); HES1(38); CCL2(29); EGR1(28); PPARG(24),high
docetaxel,1.11,66.01535909728227,JUN(41); HES1(38); CCL2(29); EGR1(28); PPARG(24),high
vinorelbine,10.0,49.92047355986194,JUN(41); HES1(38); CCL2(29); EGR1(28); PPARG(24),moderate
vinblastine,10.0,48.52711225095765,JUN(41); HES1(38); CCL2(29); EGR1(28); PPARG(24),moderate
methotrexate,10.0,34.74851078670098,JUN(41); HES1(38); CCL2(29); EGR1(28); PPARG(24),moderate
NVP-BEZ235,10.0,34.60134826887766,JUN(41); HES1(38); CCL2(29); EGR1(28); PPARG(24),moderate
NVP-AUY922,1.11,34.54626239287575,JUN(41); HES1(38); CCL2(29); EGR1(28); PPARG(24),moderate
lestaurtinib,10.0,33.22286456826566,JUN(41); HES1(38); CCL2(29); EGR1(28); PPARG(24),moderate
epirubicin,10.0,32.685411481876926,JUN(41); HES1(38); CCL2(29); EGR1(28); PPARG(24),moderate
gemcitabine,10.0,31.90993887498328,JUN(41); HES1(38); CCL2(29); EGR1(28); PPARG(24),moderate
camptothecin,1.11,31.22348204910934,JUN(41); HES1(38); CCL2(29); EGR1(28); PPARG(24),moderate
staurosporine,10.0,30.190034526329097,JUN(41); HES1(38); CCL2(29); EGR1(28); PPARG(24),moderate
GDC-0941,10.0,29.874498430628375,JUN(41); HES1(38); CCL2(29); EGR1(28); PPARG(24),low
tanespimycin,10.0,27.14895869799075,JUN(41); HES1(38); CCL2(29); EGR1(28); PPARG(24),low
nutlin-3,10.0,26.085949221107867,JUN(41); HES1(38); CCL2(29); EGR1(28); PPARG(24),low
SN-38,1.11,25.919270074051443,JUN(41); HES1(38); CCL2(29); EGR1(28); PPARG(24),low
navitoclax,10.0,23.48331378314876,JUN(41); HES1(38); CCL2(29); EGR1(28); PPARG(24),low
MG-132,10.0,23.212211665760318,JUN(41); HES1(38); CCL2(29); EGR1(28); PPARG(24),low
