drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,0.37,100.0,RB1(27); JUN(21); PPARG(20); AKT1(16); HSPB1(14),very_high
sirolimus,1.11,100.0,RB1(27); JUN(21); PPARG(20); AKT1(16); HSPB1(14),very_high
docetaxel,1.11,67.27243524188036,RB1(27); JUN(21); PPARG(20); AKT1(16); HSPB1(14),high
paclitaxel,10.0,66.57666912028375,RB1(27); JUN(21); PPARG(20); AKT1(16); HSPB1(14),high
vinorelbine,10.0,50.362973389407315,RB1(27); JUN(21); PPARG(20); AKT1(16); HSPB1(14),high
vinblastine,10.0,48.96961208050303,RB1(27); JUN(21); PPARG(20); AKT1(16); HSPB1(14),moderate
NVP-BEZ235,10.0,35.04263493547238,RB1(27); JUN(21); PPARG(20); AKT1(16); HSPB1(14),moderate
NVP-AUY922,1.11,34.46786685727336,RB1(27); JUN(21); PPARG(20); AKT1(16); HSPB1(14),moderate
methotrexate,10.0,33.85947937597453,RB1(27); JUN(21); PPARG(20); AKT1(16); HSPB1(14),moderate
lestaurtinib,10.0,33.53525334545169,RB1(27); JUN(21); PPARG(20); AKT1(16); HSPB1(14),moderate
epirubicin,10.0,31.813159151709332,RB1(27); JUN(21); PPARG(20); AKT1(16); HSPB1(14),moderate
gemcitabine,10.0,31.187303954712075,RB1(27); JUN(21); PPARG(20); AKT1(16); HSPB1(14),moderate
camptothecin,1.11,31.121260417911405,RB1(27); JUN(21); PPARG(20); AKT1(16); HSPB1(14),moderate
staurosporine,10.0,29.316569033210946,RB1(27); JUN(21); PPARG(20); AKT1(16); HSPB1(14),low
GDC-0941,10.0,28.946946352331278,RB1(27); JUN(21); PPARG(20); AKT1(16); HSPB1(14),low
tanespimycin,10.0,26.405604257231946,RB1(27); JUN(21); PPARG(20); AKT1(16); HSPB1(14),low
SN-38,1.11,25.817048442853473,RB1(27); JUN(21); PPARG(20); AKT1(16); HSPB1(14),low
nutlin-3,10.0,25.342594780349064,RB1(27); JUN(21); PPARG(20); AKT1(16); HSPB1(14),low
topotecan,1.11,22.847778159291504,RB1(27); JUN(21); PPARG(20); AKT1(16); HSPB1(14),low
navitoclax,10.0,22.760678862877537,RB1(27); JUN(21); PPARG(20); AKT1(16); HSPB1(14),low
