drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,68.95503469876698,HMGCR(33); PPARG(17); CCL2(11); EGR1(8); HES1(8),high
docetaxel,10.0,59.52830635012324,HMGCR(33); PPARG(17); CCL2(11); EGR1(8); HES1(8),high
vinorelbine,10.0,51.878564338047994,HMGCR(33); PPARG(17); CCL2(11); EGR1(8); HES1(8),high
vinblastine,10.0,47.386401337255066,HMGCR(33); PPARG(17); CCL2(11); EGR1(8); HES1(8),moderate
methotrexate,10.0,43.794878730809366,HMGCR(33); PPARG(17); CCL2(11); EGR1(8); HES1(8),moderate
temsirolimus,10.0,42.85469387362338,HMGCR(33); PPARG(17); CCL2(11); EGR1(8); HES1(8),moderate
MG-132,10.0,33.157495465261285,HMGCR(33); PPARG(17); CCL2(11); EGR1(8); HES1(8),moderate
lestaurtinib,10.0,28.591733652082894,HMGCR(33); PPARG(17); CCL2(11); EGR1(8); HES1(8),low
navitoclax,10.0,27.365197475591593,HMGCR(33); PPARG(17); CCL2(11); EGR1(8); HES1(8),low
lapatinib,10.0,26.791319980599248,HMGCR(33); PPARG(17); CCL2(11); EGR1(8); HES1(8),low
bortezomib,10.0,26.00466791333141,HMGCR(33); PPARG(17); CCL2(11); EGR1(8); HES1(8),low
AZD-6482,10.0,23.64515496409768,HMGCR(33); PPARG(17); CCL2(11); EGR1(8); HES1(8),low
ABT-737,10.0,23.434466441575875,HMGCR(33); PPARG(17); CCL2(11); EGR1(8); HES1(8),low
foretinib,10.0,22.524683667319785,HMGCR(33); PPARG(17); CCL2(11); EGR1(8); HES1(8),low
MK-1775,10.0,22.072728646427123,HMGCR(33); PPARG(17); CCL2(11); EGR1(8); HES1(8),low
staurosporine,10.0,21.707416003168156,HMGCR(33); PPARG(17); CCL2(11); EGR1(8); HES1(8),low
gemcitabine,10.0,20.069064620639914,HMGCR(33); PPARG(17); CCL2(11); EGR1(8); HES1(8),low
sorafenib,10.0,18.234784709602625,HMGCR(33); PPARG(17); CCL2(11); EGR1(8); HES1(8),low
epirubicin,10.0,17.8762327941943,HMGCR(33); PPARG(17); CCL2(11); EGR1(8); HES1(8),low
nilotinib,10.0,16.144223977752166,HMGCR(33); PPARG(17); CCL2(11); EGR1(8); HES1(8),low
