drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,1.11,100.0,HES1(29); JUN(28); RB1(21); CHEK1(14); BRCA1(12),very_high
sirolimus,1.11,99.35267804806787,HES1(29); JUN(28); RB1(21); CHEK1(14); BRCA1(12),very_high
docetaxel,1.11,66.54091356870403,HES1(29); JUN(28); RB1(21); CHEK1(14); BRCA1(12),high
paclitaxel,10.0,65.84514744710742,HES1(29); JUN(28); RB1(21); CHEK1(14); BRCA1(12),high
vinorelbine,10.0,49.63145171623097,HES1(29); JUN(28); RB1(21); CHEK1(14); BRCA1(12),moderate
vinblastine,10.0,48.23809040732669,HES1(29); JUN(28); RB1(21); CHEK1(14); BRCA1(12),moderate
NVP-BEZ235,10.0,34.84083661797563,HES1(29); JUN(28); RB1(21); CHEK1(14); BRCA1(12),moderate
NVP-AUY922,1.11,33.73634518409701,HES1(29); JUN(28); RB1(21); CHEK1(14); BRCA1(12),moderate
methotrexate,10.0,33.67324697608605,HES1(29); JUN(28); RB1(21); CHEK1(14); BRCA1(12),moderate
lestaurtinib,10.0,32.933842724634694,HES1(29); JUN(28); RB1(21); CHEK1(14); BRCA1(12),moderate
epirubicin,10.0,31.235816077399676,HES1(29); JUN(28); RB1(21); CHEK1(14); BRCA1(12),moderate
gemcitabine,10.0,31.009573183722672,HES1(29); JUN(28); RB1(21); CHEK1(14); BRCA1(12),moderate
camptothecin,1.11,30.389738744735006,HES1(29); JUN(28); RB1(21); CHEK1(14); BRCA1(12),moderate
staurosporine,10.0,29.114770715714183,HES1(29); JUN(28); RB1(21); CHEK1(14); BRCA1(12),low
GDC-0941,10.0,28.27072442728451,HES1(29); JUN(28); RB1(21); CHEK1(14); BRCA1(12),low
tanespimycin,10.0,26.073694887375837,HES1(29); JUN(28); RB1(21); CHEK1(14); BRCA1(12),low
SN-38,1.11,25.08552676967711,HES1(29); JUN(28); RB1(21); CHEK1(14); BRCA1(12),low
nutlin-3,10.0,25.010685410492947,HES1(29); JUN(28); RB1(21); CHEK1(14); BRCA1(12),low
navitoclax,10.0,22.43199941873242,HES1(29); JUN(28); RB1(21); CHEK1(14); BRCA1(12),low
lapatinib,10.0,22.35542404999802,HES1(29); JUN(28); RB1(21); CHEK1(14); BRCA1(12),low
