drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,1.11,100.0,CHEK1(32); CCL2(17); KDM5A(16); PPARG(16); HSPB1(14),very_high
sirolimus,1.11,99.07373042519932,CHEK1(32); CCL2(17); KDM5A(16); PPARG(16); HSPB1(14),very_high
docetaxel,1.11,66.25513245063418,CHEK1(32); CCL2(17); KDM5A(16); PPARG(16); HSPB1(14),high
paclitaxel,10.0,65.55936632903757,CHEK1(32); CCL2(17); KDM5A(16); PPARG(16); HSPB1(14),high
vinorelbine,10.0,49.34567059816115,CHEK1(32); CCL2(17); KDM5A(16); PPARG(16); HSPB1(14),moderate
vinblastine,10.0,47.95230928925687,CHEK1(32); CCL2(17); KDM5A(16); PPARG(16); HSPB1(14),moderate
NVP-AUY922,1.11,33.4573975612285,CHEK1(32); CCL2(17); KDM5A(16); PPARG(16); HSPB1(14),moderate
NVP-BEZ235,10.0,33.3929039353439,CHEK1(32); CCL2(17); KDM5A(16); PPARG(16); HSPB1(14),moderate
lestaurtinib,10.0,32.51795055420553,CHEK1(32); CCL2(17); KDM5A(16); PPARG(16); HSPB1(14),moderate
methotrexate,10.0,32.35542534581362,CHEK1(32); CCL2(17); KDM5A(16); PPARG(16); HSPB1(14),moderate
epirubicin,10.0,30.795856360463162,CHEK1(32); CCL2(17); KDM5A(16); PPARG(16); HSPB1(14),moderate
camptothecin,1.11,30.103957626665235,CHEK1(32); CCL2(17); KDM5A(16); PPARG(16); HSPB1(14),moderate
gemcitabine,10.0,29.537572954583602,CHEK1(32); CCL2(17); KDM5A(16); PPARG(16); HSPB1(14),low
GDC-0941,10.0,27.929643561085115,CHEK1(32); CCL2(17); KDM5A(16); PPARG(16); HSPB1(14),low
staurosporine,10.0,27.666838033082467,CHEK1(32); CCL2(17); KDM5A(16); PPARG(16); HSPB1(14),low
SN-38,1.11,24.79974565160731,CHEK1(32); CCL2(17); KDM5A(16); PPARG(16); HSPB1(14),low
tanespimycin,10.0,24.755873257103467,CHEK1(32); CCL2(17); KDM5A(16); PPARG(16); HSPB1(14),low
nutlin-3,10.0,23.69969727542189,CHEK1(32); CCL2(17); KDM5A(16); PPARG(16); HSPB1(14),low
topotecan,1.11,21.830475368045335,CHEK1(32); CCL2(17); KDM5A(16); PPARG(16); HSPB1(14),low
navitoclax,10.0,21.260409189368605,CHEK1(32); CCL2(17); KDM5A(16); PPARG(16); HSPB1(14),low
