drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,0.37,100.0,CCL2(33); KDM5A(25); HES1(24); CASP3(20); PMAIP1(18),very_high
sirolimus,1.11,99.78780559302385,CCL2(33); KDM5A(25); HES1(24); CASP3(20); PMAIP1(18),very_high
docetaxel,1.11,66.96920761845871,CCL2(33); KDM5A(25); HES1(24); CASP3(20); PMAIP1(18),high
paclitaxel,10.0,66.2734414968621,CCL2(33); KDM5A(25); HES1(24); CASP3(20); PMAIP1(18),high
vinorelbine,10.0,50.04846055612133,CCL2(33); KDM5A(25); HES1(24); CASP3(20); PMAIP1(18),high
vinblastine,10.0,48.655099247217045,CCL2(33); KDM5A(25); HES1(24); CASP3(20); PMAIP1(18),moderate
NVP-BEZ235,10.0,34.237090155527724,CCL2(33); KDM5A(25); HES1(24); CASP3(20); PMAIP1(18),moderate
NVP-AUY922,1.11,34.17147272905297,CCL2(33); KDM5A(25); HES1(24); CASP3(20); PMAIP1(18),moderate
lestaurtinib,10.0,33.36213677438935,CCL2(33); KDM5A(25); HES1(24); CASP3(20); PMAIP1(18),moderate
methotrexate,10.0,33.06950051363811,CCL2(33); KDM5A(25); HES1(24); CASP3(20); PMAIP1(18),moderate
epirubicin,10.0,31.66411012715436,CCL2(33); KDM5A(25); HES1(24); CASP3(20); PMAIP1(18),moderate
camptothecin,1.11,30.818032794489696,CCL2(33); KDM5A(25); HES1(24); CASP3(20); PMAIP1(18),moderate
gemcitabine,10.0,30.4058267212748,CCL2(33); KDM5A(25); HES1(24); CASP3(20); PMAIP1(18),moderate
GDC-0941,10.0,28.699018477039193,CCL2(33); KDM5A(25); HES1(24); CASP3(20); PMAIP1(18),low
staurosporine,10.0,28.511024253266296,CCL2(33); KDM5A(25); HES1(24); CASP3(20); PMAIP1(18),low
SN-38,1.11,25.513820819431793,CCL2(33); KDM5A(25); HES1(24); CASP3(20); PMAIP1(18),low
tanespimycin,10.0,25.469948424927956,CCL2(33); KDM5A(25); HES1(24); CASP3(20); PMAIP1(18),low
nutlin-3,10.0,24.413772443246373,CCL2(33); KDM5A(25); HES1(24); CASP3(20); PMAIP1(18),low
topotecan,1.11,22.544550535869817,CCL2(33); KDM5A(25); HES1(24); CASP3(20); PMAIP1(18),low
navitoclax,10.0,21.82825295628454,CCL2(33); KDM5A(25); HES1(24); CASP3(20); PMAIP1(18),low
