drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,1.11,100.0,PPARG(41); CCL2(23); KDM5A(23); CASP3(20); HSPB1(20),very_high
sirolimus,1.11,99.42620814184188,PPARG(41); CCL2(23); KDM5A(23); CASP3(20); HSPB1(20),very_high
docetaxel,1.11,66.58689064678916,PPARG(41); CCL2(23); KDM5A(23); CASP3(20); HSPB1(20),high
paclitaxel,10.0,65.89112452519255,PPARG(41); CCL2(23); KDM5A(23); CASP3(20); HSPB1(20),high
vinorelbine,10.0,49.43268082092774,PPARG(41); CCL2(23); KDM5A(23); CASP3(20); HSPB1(20),moderate
vinblastine,10.0,48.30829662351318,PPARG(41); CCL2(23); KDM5A(23); CASP3(20); HSPB1(20),moderate
NVP-BEZ235,10.0,33.87549270434576,PPARG(41); CCL2(23); KDM5A(23); CASP3(20); HSPB1(20),moderate
NVP-AUY922,1.11,33.80987527787101,PPARG(41); CCL2(23); KDM5A(23); CASP3(20); HSPB1(20),moderate
lestaurtinib,10.0,33.000539323207384,PPARG(41); CCL2(23); KDM5A(23); CASP3(20); HSPB1(20),moderate
methotrexate,10.0,32.70790306245615,PPARG(41); CCL2(23); KDM5A(23); CASP3(20); HSPB1(20),moderate
epirubicin,10.0,31.302512675972363,PPARG(41); CCL2(23); KDM5A(23); CASP3(20); HSPB1(20),moderate
camptothecin,1.11,30.456435343307692,PPARG(41); CCL2(23); KDM5A(23); CASP3(20); HSPB1(20),moderate
gemcitabine,10.0,29.75453263811548,PPARG(41); CCL2(23); KDM5A(23); CASP3(20); HSPB1(20),low
staurosporine,10.0,28.744673393852757,PPARG(41); CCL2(23); KDM5A(23); CASP3(20); HSPB1(20),low
GDC-0941,10.0,28.337421025857196,PPARG(41); CCL2(23); KDM5A(23); CASP3(20); HSPB1(20),low
SN-38,1.11,25.152223368249796,PPARG(41); CCL2(23); KDM5A(23); CASP3(20); HSPB1(20),low
tanespimycin,10.0,25.108350973745953,PPARG(41); CCL2(23); KDM5A(23); CASP3(20); HSPB1(20),low
nutlin-3,10.0,24.052174992064376,PPARG(41); CCL2(23); KDM5A(23); CASP3(20); HSPB1(20),low
topotecan,1.11,22.18295308468782,PPARG(41); CCL2(23); KDM5A(23); CASP3(20); HSPB1(20),low
lapatinib,10.0,21.556074219776487,PPARG(41); CCL2(23); KDM5A(23); CASP3(20); HSPB1(20),low
