drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,68.91019782570028,PPARG(27); RB1(24); HSPB1(20); CDKN1B(19); SRC(17),high
docetaxel,10.0,59.48346947705651,PPARG(27); RB1(24); HSPB1(20); CDKN1B(19); SRC(17),high
vinorelbine,10.0,53.03076542287887,PPARG(27); RB1(24); HSPB1(20); CDKN1B(19); SRC(17),high
vinblastine,10.0,48.538602422085944,PPARG(27); RB1(24); HSPB1(20); CDKN1B(19); SRC(17),moderate
methotrexate,10.0,44.775600328985384,PPARG(27); RB1(24); HSPB1(20); CDKN1B(19); SRC(17),moderate
temsirolimus,10.0,44.47930704304026,PPARG(27); RB1(24); HSPB1(20); CDKN1B(19); SRC(17),moderate
MG-132,10.0,34.1382170634373,PPARG(27); RB1(24); HSPB1(20); CDKN1B(19); SRC(17),moderate
lestaurtinib,10.0,30.584818579088914,PPARG(27); RB1(24); HSPB1(20); CDKN1B(19); SRC(17),moderate
navitoclax,10.0,29.358282402597563,PPARG(27); RB1(24); HSPB1(20); CDKN1B(19); SRC(17),low
lapatinib,10.0,27.82668082637176,PPARG(27); RB1(24); HSPB1(20); CDKN1B(19); SRC(17),low
bortezomib,10.0,26.98538951150743,PPARG(27); RB1(24); HSPB1(20); CDKN1B(19); SRC(17),low
ABT-737,10.0,25.427551368581838,PPARG(27); RB1(24); HSPB1(20); CDKN1B(19); SRC(17),low
AZD-6482,10.0,24.613288813367404,PPARG(27); RB1(24); HSPB1(20); CDKN1B(19); SRC(17),low
staurosporine,10.0,23.64586168257765,PPARG(27); RB1(24); HSPB1(20); CDKN1B(19); SRC(17),low
foretinib,10.0,23.363052242158073,PPARG(27); RB1(24); HSPB1(20); CDKN1B(19); SRC(17),low
MK-1775,10.0,21.856412286705545,PPARG(27); RB1(24); HSPB1(20); CDKN1B(19); SRC(17),low
gemcitabine,10.0,21.049786218815942,PPARG(27); RB1(24); HSPB1(20); CDKN1B(19); SRC(17),low
epirubicin,10.0,19.814678473603788,PPARG(27); RB1(24); HSPB1(20); CDKN1B(19); SRC(17),low
sorafenib,10.0,19.44162504202999,PPARG(27); RB1(24); HSPB1(20); CDKN1B(19); SRC(17),low
nilotinib,10.0,17.296425062583054,PPARG(27); RB1(24); HSPB1(20); CDKN1B(19); SRC(17),low
