drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,68.91479258801343,EGR1(22); HMGCR(10); RB1(10); HSPA8(8); CDKN1B(7),high
docetaxel,10.0,59.48806423936964,EGR1(22); HMGCR(10); RB1(10); HSPA8(8); CDKN1B(7),high
vinorelbine,10.0,51.8383222272944,EGR1(22); HMGCR(10); RB1(10); HSPA8(8); CDKN1B(7),high
vinblastine,10.0,47.34615922650147,EGR1(22); HMGCR(10); RB1(10); HSPA8(8); CDKN1B(7),moderate
methotrexate,10.0,42.90981667952874,EGR1(22); HMGCR(10); RB1(10); HSPA8(8); CDKN1B(7),moderate
temsirolimus,10.0,42.25048303747149,EGR1(22); HMGCR(10); RB1(10); HSPA8(8); CDKN1B(7),moderate
MG-132,10.0,32.272433413980664,EGR1(22); HMGCR(10); RB1(10); HSPA8(8); CDKN1B(7),moderate
lestaurtinib,10.0,28.042162063527485,EGR1(22); HMGCR(10); RB1(10); HSPA8(8); CDKN1B(7),low
navitoclax,10.0,26.815625887036184,EGR1(22); HMGCR(10); RB1(10); HSPA8(8); CDKN1B(7),low
lapatinib,10.0,25.960897176915104,EGR1(22); HMGCR(10); RB1(10); HSPA8(8); CDKN1B(7),low
bortezomib,10.0,25.119605862050783,EGR1(22); HMGCR(10); RB1(10); HSPA8(8); CDKN1B(7),low
ABT-737,10.0,22.88489485302046,EGR1(22); HMGCR(10); RB1(10); HSPA8(8); CDKN1B(7),low
AZD-6482,10.0,22.760092912817054,EGR1(22); HMGCR(10); RB1(10); HSPA8(8); CDKN1B(7),low
foretinib,10.0,22.484441556566182,EGR1(22); HMGCR(10); RB1(10); HSPA8(8); CDKN1B(7),low
MK-1775,10.0,21.187666595146496,EGR1(22); HMGCR(10); RB1(10); HSPA8(8); CDKN1B(7),low
staurosporine,10.0,21.103205167016263,EGR1(22); HMGCR(10); RB1(10); HSPA8(8); CDKN1B(7),low
gemcitabine,10.0,19.184002569359286,EGR1(22); HMGCR(10); RB1(10); HSPA8(8); CDKN1B(7),low
sorafenib,10.0,18.580359167575384,EGR1(22); HMGCR(10); RB1(10); HSPA8(8); CDKN1B(7),low
epirubicin,10.0,17.272021958042416,EGR1(22); HMGCR(10); RB1(10); HSPA8(8); CDKN1B(7),low
nilotinib,10.0,16.10398186699857,EGR1(22); HMGCR(10); RB1(10); HSPA8(8); CDKN1B(7),low
