drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,70.06437556907515,EGR1(27); PPARG(21); RB1(10); PMAIP1(9); HSPA1A(9),very_high
docetaxel,10.0,60.63764722043137,EGR1(27); PPARG(21); RB1(10); PMAIP1(9); HSPA1A(9),high
vinorelbine,10.0,52.9556997972461,EGR1(27); PPARG(21); RB1(10); PMAIP1(9); HSPA1A(9),high
vinblastine,10.0,48.46353679645317,EGR1(27); PPARG(21); RB1(10); PMAIP1(9); HSPA1A(9),moderate
methotrexate,10.0,44.917864537421934,EGR1(27); PPARG(21); RB1(10); PMAIP1(9); HSPA1A(9),moderate
temsirolimus,10.0,44.86915680621424,EGR1(27); PPARG(21); RB1(10); PMAIP1(9); HSPA1A(9),moderate
MG-132,10.0,34.234630924459395,EGR1(27); PPARG(21); RB1(10); PMAIP1(9); HSPA1A(9),moderate
lestaurtinib,10.0,30.606196584673807,EGR1(27); PPARG(21); RB1(10); PMAIP1(9); HSPA1A(9),moderate
navitoclax,10.0,29.40005701602319,EGR1(27); PPARG(21); RB1(10); PMAIP1(9); HSPA1A(9),low
lapatinib,10.0,27.914305787211845,EGR1(27); PPARG(21); RB1(10); PMAIP1(9); HSPA1A(9),low
bortezomib,10.0,27.127653719944007,EGR1(27); PPARG(21); RB1(10); PMAIP1(9); HSPA1A(9),low
ABT-737,10.0,25.469325982007465,EGR1(27); PPARG(21); RB1(10); PMAIP1(9); HSPA1A(9),low
AZD-6482,10.0,24.78775843291399,EGR1(27); PPARG(21); RB1(10); PMAIP1(9); HSPA1A(9),low
staurosporine,10.0,23.72187893575904,EGR1(27); PPARG(21); RB1(10); PMAIP1(9); HSPA1A(9),low
foretinib,10.0,23.647669473932382,EGR1(27); PPARG(21); RB1(10); PMAIP1(9); HSPA1A(9),low
MK-1775,10.0,23.227919864149737,EGR1(27); PPARG(21); RB1(10); PMAIP1(9); HSPA1A(9),low
gemcitabine,10.0,21.192050427252518,EGR1(27); PPARG(21); RB1(10); PMAIP1(9); HSPA1A(9),low
epirubicin,10.0,19.9110923346259,EGR1(27); PPARG(21); RB1(10); PMAIP1(9); HSPA1A(9),low
sorafenib,10.0,19.688947837345093,EGR1(27); PPARG(21); RB1(10); PMAIP1(9); HSPA1A(9),low
nilotinib,10.0,17.267209784364763,EGR1(27); PPARG(21); RB1(10); PMAIP1(9); HSPA1A(9),low
