drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,3.33,100.0,JUN(56); HES1(22); CASP3(19); RB1(16); TLR4(14),very_high
sirolimus,0.04,100.0,JUN(56); HES1(22); CASP3(19); RB1(16); TLR4(14),very_high
docetaxel,1.11,69.03172826053654,JUN(56); HES1(22); CASP3(19); RB1(16); TLR4(14),high
paclitaxel,10.0,68.69983864200569,JUN(56); HES1(22); CASP3(19); RB1(16); TLR4(14),high
vinorelbine,10.0,51.90228005971246,JUN(56); HES1(22); CASP3(19); RB1(16); TLR4(14),high
vinblastine,10.0,50.50891875080817,JUN(56); HES1(22); CASP3(19); RB1(16); TLR4(14),high
NVP-BEZ235,10.0,38.2742041682172,JUN(56); HES1(22); CASP3(19); RB1(16); TLR4(14),moderate
NVP-AUY922,1.11,37.6018372138826,JUN(56); HES1(22); CASP3(19); RB1(16); TLR4(14),moderate
lestaurtinib,10.0,37.39925078707883,JUN(56); HES1(22); CASP3(19); RB1(16); TLR4(14),moderate
epirubicin,10.0,35.54704554097719,JUN(56); HES1(22); CASP3(19); RB1(16); TLR4(14),moderate
methotrexate,10.0,34.85617482553882,JUN(56); HES1(22); CASP3(19); RB1(16); TLR4(14),moderate
camptothecin,1.11,33.967088028107156,JUN(56); HES1(22); CASP3(19); RB1(16); TLR4(14),moderate
gemcitabine,10.0,33.44247899537157,JUN(56); HES1(22); CASP3(19); RB1(16); TLR4(14),moderate
staurosporine,10.0,33.143384857724314,JUN(56); HES1(22); CASP3(19); RB1(16); TLR4(14),moderate
GDC-0941,10.0,31.926508190008708,JUN(56); HES1(22); CASP3(19); RB1(16); TLR4(14),moderate
SN-38,1.11,28.99371073166331,JUN(56); HES1(22); CASP3(19); RB1(16); TLR4(14),low
tanespimycin,10.0,28.95683735856237,JUN(56); HES1(22); CASP3(19); RB1(16); TLR4(14),low
nutlin-3,10.0,27.26579675934863,JUN(56); HES1(22); CASP3(19); RB1(16); TLR4(14),low
topotecan,1.11,25.693605769487252,JUN(56); HES1(22); CASP3(19); RB1(16); TLR4(14),low
dactinomycin,10.0,25.516979395066812,JUN(56); HES1(22); CASP3(19); RB1(16); TLR4(14),low
