drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,71.66443731976106,RB1(20); HES1(20); EGR1(18); HSPB1(12); PPARG(11),very_high
docetaxel,10.0,62.23770897111726,RB1(20); HES1(20); EGR1(18); HSPB1(12); PPARG(11),high
vinorelbine,10.0,54.71611320337794,RB1(20); HES1(20); EGR1(18); HSPB1(12); PPARG(11),high
vinblastine,10.0,50.22395020258501,RB1(20); HES1(20); EGR1(18); HSPB1(12); PPARG(11),high
temsirolimus,10.0,44.979530706329065,RB1(20); HES1(20); EGR1(18); HSPB1(12); PPARG(11),moderate
methotrexate,10.0,44.369736700210275,RB1(20); HES1(20); EGR1(18); HSPB1(12); PPARG(11),moderate
MG-132,10.0,34.17777744102949,RB1(20); HES1(20); EGR1(18); HSPB1(12); PPARG(11),moderate
lestaurtinib,10.0,31.687116899556447,RB1(20); HES1(20); EGR1(18); HSPB1(12); PPARG(11),moderate
navitoclax,10.0,29.810147041459018,RB1(20); HES1(20); EGR1(18); HSPB1(12); PPARG(11),low
lapatinib,10.0,28.806487600604427,RB1(20); HES1(20); EGR1(18); HSPB1(12); PPARG(11),low
bortezomib,10.0,28.261775234665997,RB1(20); HES1(20); EGR1(18); HSPB1(12); PPARG(11),low
foretinib,10.0,26.07891316951096,RB1(20); HES1(20); EGR1(18); HSPB1(12); PPARG(11),low
ABT-737,10.0,25.8794160074433,RB1(20); HES1(20); EGR1(18); HSPB1(12); PPARG(11),low
AZD-6482,10.0,25.75217599991789,RB1(20); HES1(20); EGR1(18); HSPB1(12); PPARG(11),low
staurosporine,10.0,24.74816000304516,RB1(20); HES1(20); EGR1(18); HSPB1(12); PPARG(11),low
MK-1775,10.0,24.271935267964995,RB1(20); HES1(20); EGR1(18); HSPB1(12); PPARG(11),low
gemcitabine,10.0,22.00513058695587,RB1(20); HES1(20); EGR1(18); HSPB1(12); PPARG(11),low
sorafenib,10.0,21.843653459390286,RB1(20); HES1(20); EGR1(18); HSPB1(12); PPARG(11),low
epirubicin,10.0,20.937373401912026,RB1(20); HES1(20); EGR1(18); HSPB1(12); PPARG(11),low
nilotinib,10.0,19.69845347994335,RB1(20); HES1(20); EGR1(18); HSPB1(12); PPARG(11),low
