drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,1.11,100.0,CCL2(18); HSPB1(16); KDM5A(15); EGR1(12); AKT1(8),very_high
sirolimus,1.11,100.0,CCL2(18); HSPB1(16); KDM5A(15); EGR1(12); AKT1(8),very_high
docetaxel,1.11,67.34024525370073,CCL2(18); HSPB1(16); KDM5A(15); EGR1(12); AKT1(8),high
paclitaxel,10.0,66.64447913210412,CCL2(18); HSPB1(16); KDM5A(15); EGR1(12); AKT1(8),high
vinorelbine,10.0,50.48168551287667,CCL2(18); HSPB1(16); KDM5A(15); EGR1(12); AKT1(8),high
vinblastine,10.0,49.08832420397239,CCL2(18); HSPB1(16); KDM5A(15); EGR1(12); AKT1(8),moderate
NVP-BEZ235,10.0,34.65902990241877,CCL2(18); HSPB1(16); KDM5A(15); EGR1(12); AKT1(8),moderate
NVP-AUY922,1.11,34.586578980742715,CCL2(18); HSPB1(16); KDM5A(15); EGR1(12); AKT1(8),moderate
lestaurtinib,10.0,33.7840765212804,CCL2(18); HSPB1(16); KDM5A(15); EGR1(12); AKT1(8),moderate
methotrexate,10.0,33.49144026052917,CCL2(18); HSPB1(16); KDM5A(15); EGR1(12); AKT1(8),moderate
epirubicin,10.0,31.931871275178672,CCL2(18); HSPB1(16); KDM5A(15); EGR1(12); AKT1(8),moderate
camptothecin,1.11,31.263798636976325,CCL2(18); HSPB1(16); KDM5A(15); EGR1(12); AKT1(8),moderate
gemcitabine,10.0,30.673587869299116,CCL2(18); HSPB1(16); KDM5A(15); EGR1(12); AKT1(8),moderate
staurosporine,10.0,29.528210591925784,CCL2(18); HSPB1(16); KDM5A(15); EGR1(12); AKT1(8),low
GDC-0941,10.0,29.06565847580063,CCL2(18); HSPB1(16); KDM5A(15); EGR1(12); AKT1(8),low
SN-38,1.11,25.95958666191843,CCL2(18); HSPB1(16); KDM5A(15); EGR1(12); AKT1(8),low
tanespimycin,10.0,25.87215257194874,CCL2(18); HSPB1(16); KDM5A(15); EGR1(12); AKT1(8),low
nutlin-3,10.0,24.777976583287113,CCL2(18); HSPB1(16); KDM5A(15); EGR1(12); AKT1(8),low
topotecan,1.11,22.990316378356454,CCL2(18); HSPB1(16); KDM5A(15); EGR1(12); AKT1(8),low
lapatinib,10.0,22.339611417849515,CCL2(18); HSPB1(16); KDM5A(15); EGR1(12); AKT1(8),low
