drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,1.11,99.73413880566248,PPARG(36); CCL2(20); CASP3(15); AKT1(14); PMAIP1(10),very_high
sirolimus,1.11,98.46933795584545,PPARG(36); CCL2(20); CASP3(15); AKT1(14); PMAIP1(10),very_high
docetaxel,1.11,65.63685395599401,PPARG(36); CCL2(20); CASP3(15); AKT1(14); PMAIP1(10),high
paclitaxel,10.0,64.94108783439742,PPARG(36); CCL2(20); CASP3(15); AKT1(14); PMAIP1(10),high
vinorelbine,10.0,48.46433968504067,PPARG(36); CCL2(20); CASP3(15); AKT1(14); PMAIP1(10),moderate
vinblastine,10.0,47.339955487626106,PPARG(36); CCL2(20); CASP3(15); AKT1(14); PMAIP1(10),moderate
NVP-AUY922,1.11,34.16775725158743,PPARG(36); CCL2(20); CASP3(15); AKT1(14); PMAIP1(10),moderate
methotrexate,10.0,33.47620909613449,PPARG(36); CCL2(20); CASP3(15); AKT1(14); PMAIP1(10),moderate
NVP-BEZ235,10.0,33.329046578311186,PPARG(36); CCL2(20); CASP3(15); AKT1(14); PMAIP1(10),moderate
lestaurtinib,10.0,32.05050263241221,PPARG(36); CCL2(20); CASP3(15); AKT1(14); PMAIP1(10),moderate
epirubicin,10.0,31.667228144890124,PPARG(36); CCL2(20); CASP3(15); AKT1(14); PMAIP1(10),moderate
camptothecin,1.11,30.82115081222546,PPARG(36); CCL2(20); CASP3(15); AKT1(14); PMAIP1(10),moderate
gemcitabine,10.0,30.52283867179385,PPARG(36); CCL2(20); CASP3(15); AKT1(14); PMAIP1(10),moderate
staurosporine,10.0,29.512979427531125,PPARG(36); CCL2(20); CASP3(15); AKT1(14); PMAIP1(10),low
GDC-0941,10.0,28.646836746645363,PPARG(36); CCL2(20); CASP3(15); AKT1(14); PMAIP1(10),low
tanespimycin,10.0,25.876657007424313,PPARG(36); CCL2(20); CASP3(15); AKT1(14); PMAIP1(10),low
SN-38,1.11,25.516938837167558,PPARG(36); CCL2(20); CASP3(15); AKT1(14); PMAIP1(10),low
nutlin-3,10.0,24.81364753054143,PPARG(36); CCL2(20); CASP3(15); AKT1(14); PMAIP1(10),low
topotecan,1.11,22.547668553605583,PPARG(36); CCL2(20); CASP3(15); AKT1(14); PMAIP1(10),low
lapatinib,10.0,22.324380253454855,PPARG(36); CCL2(20); CASP3(15); AKT1(14); PMAIP1(10),low
