drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,71.85391972968092,KDM5A(33); HES1(28); SRC(16); RB1(14); HSPB1(14),very_high
docetaxel,10.0,62.427191381037105,KDM5A(33); HES1(28); SRC(16); RB1(14); HSPB1(14),high
vinorelbine,10.0,55.23863982738619,KDM5A(33); HES1(28); SRC(16); RB1(14); HSPB1(14),high
vinblastine,10.0,50.74647682659325,KDM5A(33); HES1(28); SRC(16); RB1(14); HSPB1(14),high
temsirolimus,10.0,46.872311128616644,KDM5A(33); HES1(28); SRC(16); RB1(14); HSPB1(14),moderate
methotrexate,10.0,44.90116228511961,KDM5A(33); HES1(28); SRC(16); RB1(14); HSPB1(14),moderate
MG-132,10.0,34.7550533733533,KDM5A(33); HES1(28); SRC(16); RB1(14); HSPB1(14),moderate
lestaurtinib,10.0,33.525258074247574,KDM5A(33); HES1(28); SRC(16); RB1(14); HSPB1(14),moderate
navitoclax,10.0,31.10686371499776,KDM5A(33); HES1(28); SRC(16); RB1(14); HSPB1(14),moderate
lapatinib,10.0,29.28327393791732,KDM5A(33); HES1(28); SRC(16); RB1(14); HSPB1(14),low
bortezomib,10.0,28.79320081957537,KDM5A(33); HES1(28); SRC(16); RB1(14); HSPB1(14),low
ABT-737,10.0,27.176132680982043,KDM5A(33); HES1(28); SRC(16); RB1(14); HSPB1(14),low
staurosporine,10.0,26.640940425332776,KDM5A(33); HES1(28); SRC(16); RB1(14); HSPB1(14),low
AZD-6482,10.0,26.271013835920957,KDM5A(33); HES1(28); SRC(16); RB1(14); HSPB1(14),low
foretinib,10.0,26.034561552793104,KDM5A(33); HES1(28); SRC(16); RB1(14); HSPB1(14),low
MK-1775,10.0,24.470316638785974,KDM5A(33); HES1(28); SRC(16); RB1(14); HSPB1(14),low
epirubicin,10.0,22.80975721635893,KDM5A(33); HES1(28); SRC(16); RB1(14); HSPB1(14),low
sorafenib,10.0,22.596867809517498,KDM5A(33); HES1(28); SRC(16); RB1(14); HSPB1(14),low
gemcitabine,10.0,22.536556171865247,KDM5A(33); HES1(28); SRC(16); RB1(14); HSPB1(14),low
nilotinib,10.0,20.175129756537167,KDM5A(33); HES1(28); SRC(16); RB1(14); HSPB1(14),low
