drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,70.12334626667241,CCL2(26); PPARG(16); EGR1(13); CCND1(12); CHEK1(12),very_high
docetaxel,10.0,60.696617918028615,CCL2(26); PPARG(16); EGR1(13); CCND1(12); CHEK1(12),high
vinorelbine,10.0,53.046875905953364,CCL2(26); PPARG(16); EGR1(13); CCND1(12); CHEK1(12),high
vinblastine,10.0,48.554712905160436,CCL2(26); PPARG(16); EGR1(13); CCND1(12); CHEK1(12),moderate
methotrexate,10.0,45.0090406461292,CCL2(26); PPARG(16); EGR1(13); CCND1(12); CHEK1(12),moderate
temsirolimus,10.0,44.00260883368805,CCL2(26); PPARG(16); EGR1(13); CCND1(12); CHEK1(12),moderate
MG-132,10.0,34.32580703316666,CCL2(26); PPARG(16); EGR1(13); CCND1(12); CHEK1(12),moderate
lestaurtinib,10.0,29.739648612147576,CCL2(26); PPARG(16); EGR1(13); CCND1(12); CHEK1(12),low
navitoclax,10.0,28.533509043496974,CCL2(26); PPARG(16); EGR1(13); CCND1(12); CHEK1(12),low
lapatinib,10.0,28.005481895919086,CCL2(26); PPARG(16); EGR1(13); CCND1(12); CHEK1(12),low
bortezomib,10.0,27.21882982865125,CCL2(26); PPARG(16); EGR1(13); CCND1(12); CHEK1(12),low
AZD-6482,10.0,24.84672913051122,CCL2(26); PPARG(16); EGR1(13); CCND1(12); CHEK1(12),low
ABT-737,10.0,24.602778009481256,CCL2(26); PPARG(16); EGR1(13); CCND1(12); CHEK1(12),low
foretinib,10.0,23.738845582639623,CCL2(26); PPARG(16); EGR1(13); CCND1(12); CHEK1(12),low
MK-1775,10.0,23.28689056174696,CCL2(26); PPARG(16); EGR1(13); CCND1(12); CHEK1(12),low
staurosporine,10.0,22.855330963232824,CCL2(26); PPARG(16); EGR1(13); CCND1(12); CHEK1(12),low
gemcitabine,10.0,21.283226535959752,CCL2(26); PPARG(16); EGR1(13); CCND1(12); CHEK1(12),low
sorafenib,10.0,19.780123946052342,CCL2(26); PPARG(16); EGR1(13); CCND1(12); CHEK1(12),low
epirubicin,10.0,19.044544362099682,CCL2(26); PPARG(16); EGR1(13); CCND1(12); CHEK1(12),low
nilotinib,10.0,17.35838589307201,CCL2(26); PPARG(16); EGR1(13); CCND1(12); CHEK1(12),low
