drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,0.04,100.0,RB1(39); PPARG(33); CCL2(32); EGR1(25); TLR4(12),very_high
sirolimus,1.11,100.0,RB1(39); PPARG(33); CCL2(32); EGR1(25); TLR4(12),very_high
docetaxel,1.11,67.3437326945343,RB1(39); PPARG(33); CCL2(32); EGR1(25); TLR4(12),high
paclitaxel,10.0,67.01184307600344,RB1(39); PPARG(33); CCL2(32); EGR1(25); TLR4(12),high
vinorelbine,10.0,51.395425351230706,RB1(39); PPARG(33); CCL2(32); EGR1(25); TLR4(12),high
vinblastine,10.0,50.27104115381614,RB1(39); PPARG(33); CCL2(32); EGR1(25); TLR4(12),high
NVP-BEZ235,10.0,35.67994729584605,RB1(39); PPARG(33); CCL2(32); EGR1(25); TLR4(12),moderate
NVP-AUY922,1.11,34.98346567888009,RB1(39); PPARG(33); CCL2(32); EGR1(25); TLR4(12),moderate
lestaurtinib,10.0,34.80499391470767,RB1(39); PPARG(33); CCL2(32); EGR1(25); TLR4(12),moderate
methotrexate,10.0,34.495076486526415,RB1(39); PPARG(33); CCL2(32); EGR1(25); TLR4(12),moderate
epirubicin,10.0,32.95278866860602,RB1(39); PPARG(33); CCL2(32); EGR1(25); TLR4(12),moderate
camptothecin,1.11,31.67983973875449,RB1(39); PPARG(33); CCL2(32); EGR1(25); TLR4(12),moderate
gemcitabine,10.0,31.10875057007815,RB1(39); PPARG(33); CCL2(32); EGR1(25); TLR4(12),moderate
staurosporine,10.0,30.531846817923014,RB1(39); PPARG(33); CCL2(32); EGR1(25); TLR4(12),moderate
GDC-0941,10.0,29.790517808556977,RB1(39); PPARG(33); CCL2(32); EGR1(25); TLR4(12),low
tanespimycin,10.0,26.89552439781621,RB1(39); PPARG(33); CCL2(32); EGR1(25); TLR4(12),low
SN-38,1.11,26.375627763696517,RB1(39); PPARG(33); CCL2(32); EGR1(25); TLR4(12),low
nutlin-3,10.0,25.849796088363384,RB1(39); PPARG(33); CCL2(32); EGR1(25); TLR4(12),low
topotecan,1.11,23.40635748013454,RB1(39); PPARG(33); CCL2(32); EGR1(25); TLR4(12),low
lapatinib,10.0,23.343247643846745,RB1(39); PPARG(33); CCL2(32); EGR1(25); TLR4(12),low
