drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,68.85955749273775,CCL2(45); PPARG(29); HES1(12); HSPA1A(10); BRCA1(10),high
docetaxel,10.0,59.43282914409396,CCL2(45); PPARG(29); HES1(12); HSPA1A(10); BRCA1(10),high
vinorelbine,10.0,51.783087132018714,CCL2(45); PPARG(29); HES1(12); HSPA1A(10); BRCA1(10),high
vinblastine,10.0,47.290924131225786,CCL2(45); PPARG(29); HES1(12); HSPA1A(10); BRCA1(10),moderate
methotrexate,10.0,43.07191141832238,CCL2(45); PPARG(29); HES1(12); HSPA1A(10); BRCA1(10),moderate
temsirolimus,10.0,42.065479605881215,CCL2(45); PPARG(29); HES1(12); HSPA1A(10); BRCA1(10),moderate
MG-132,10.0,32.3886778053598,CCL2(45); PPARG(29); HES1(12); HSPA1A(10); BRCA1(10),moderate
lestaurtinib,10.0,27.802519384340727,CCL2(45); PPARG(29); HES1(12); HSPA1A(10); BRCA1(10),low
navitoclax,10.0,26.596379815690145,CCL2(45); PPARG(29); HES1(12); HSPA1A(10); BRCA1(10),low
lapatinib,10.0,26.068352668112265,CCL2(45); PPARG(29); HES1(12); HSPA1A(10); BRCA1(10),low
bortezomib,10.0,25.281700600844427,CCL2(45); PPARG(29); HES1(12); HSPA1A(10); BRCA1(10),low
AZD-6482,10.0,22.9095999027044,CCL2(45); PPARG(29); HES1(12); HSPA1A(10); BRCA1(10),low
ABT-737,10.0,22.665648781674427,CCL2(45); PPARG(29); HES1(12); HSPA1A(10); BRCA1(10),low
foretinib,10.0,22.475056808704974,CCL2(45); PPARG(29); HES1(12); HSPA1A(10); BRCA1(10),low
MK-1775,10.0,21.34976133394014,CCL2(45); PPARG(29); HES1(12); HSPA1A(10); BRCA1(10),low
staurosporine,10.0,20.918201735425995,CCL2(45); PPARG(29); HES1(12); HSPA1A(10); BRCA1(10),low
gemcitabine,10.0,19.34609730815293,CCL2(45); PPARG(29); HES1(12); HSPA1A(10); BRCA1(10),low
sorafenib,10.0,18.516335172117685,CCL2(45); PPARG(29); HES1(12); HSPA1A(10); BRCA1(10),low
epirubicin,10.0,17.107415134292854,CCL2(45); PPARG(29); HES1(12); HSPA1A(10); BRCA1(10),low
nilotinib,10.0,16.094597119137354,CCL2(45); PPARG(29); HES1(12); HSPA1A(10); BRCA1(10),low
