drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,68.46520619909435,EGR1(24); PPARG(18); CCND1(13); HSPB1(12); PMAIP1(12),high
docetaxel,10.0,59.03847785045059,EGR1(24); PPARG(18); CCND1(13); HSPB1(12); PMAIP1(12),high
vinorelbine,10.0,51.38873583837535,EGR1(24); PPARG(18); CCND1(13); HSPB1(12); PMAIP1(12),high
vinblastine,10.0,46.89657283758242,EGR1(24); PPARG(18); CCND1(13); HSPB1(12); PMAIP1(12),moderate
temsirolimus,10.0,43.6941990683914,EGR1(24); PPARG(18); CCND1(13); HSPB1(12); PMAIP1(12),moderate
methotrexate,10.0,43.124671783580766,EGR1(24); PPARG(18); CCND1(13); HSPB1(12); PMAIP1(12),moderate
MG-132,10.0,32.44143817061823,EGR1(24); PPARG(18); CCND1(13); HSPB1(12); PMAIP1(12),moderate
lestaurtinib,10.0,29.4858780944474,EGR1(24); PPARG(18); CCND1(13); HSPB1(12); PMAIP1(12),low
navitoclax,10.0,28.279738525796784,EGR1(24); PPARG(18); CCND1(13); HSPB1(12); PMAIP1(12),low
lapatinib,10.0,25.79125773497601,EGR1(24); PPARG(18); CCND1(13); HSPB1(12); PMAIP1(12),low
bortezomib,10.0,25.334460966102785,EGR1(24); PPARG(18); CCND1(13); HSPB1(12); PMAIP1(12),low
ABT-737,10.0,24.34900749178106,EGR1(24); PPARG(18); CCND1(13); HSPB1(12); PMAIP1(12),low
AZD-6482,10.0,22.974948016869057,EGR1(24); PPARG(18); CCND1(13); HSPB1(12); PMAIP1(12),low
staurosporine,10.0,22.54692119793615,EGR1(24); PPARG(18); CCND1(13); HSPB1(12); PMAIP1(12),low
foretinib,10.0,22.080705515061577,EGR1(24); PPARG(18); CCND1(13); HSPB1(12); PMAIP1(12),low
MK-1775,10.0,21.01802715320741,EGR1(24); PPARG(18); CCND1(13); HSPB1(12); PMAIP1(12),low
gemcitabine,10.0,19.398857673411296,EGR1(24); PPARG(18); CCND1(13); HSPB1(12); PMAIP1(12),low
epirubicin,10.0,18.736134596803016,EGR1(24); PPARG(18); CCND1(13); HSPB1(12); PMAIP1(12),low
sorafenib,10.0,17.460951258949805,EGR1(24); PPARG(18); CCND1(13); HSPB1(12); PMAIP1(12),low
nilotinib,10.0,15.700245825493951,EGR1(24); PPARG(18); CCND1(13); HSPB1(12); PMAIP1(12),low
