drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,0.04,100.0,RB1(25); CASP3(16); CHEK1(15); CDK4(13); HSPB1(12),very_high
sirolimus,1.11,100.0,RB1(25); CASP3(16); CHEK1(15); CDK4(13); HSPB1(12),very_high
docetaxel,1.11,67.70954726829811,RB1(25); CASP3(16); CHEK1(15); CDK4(13); HSPB1(12),high
paclitaxel,10.0,67.37765764976726,RB1(25); CASP3(16); CHEK1(15); CDK4(13); HSPB1(12),high
vinorelbine,10.0,51.83041679215012,RB1(25); CASP3(16); CHEK1(15); CDK4(13); HSPB1(12),high
vinblastine,10.0,50.437055483245835,RB1(25); CASP3(16); CHEK1(15); CDK4(13); HSPB1(12),high
NVP-BEZ235,10.0,36.00776118169222,RB1(25); CASP3(16); CHEK1(15); CDK4(13); HSPB1(12),moderate
NVP-AUY922,1.11,35.33539422735762,RB1(25); CASP3(16); CHEK1(15); CDK4(13); HSPB1(12),moderate
lestaurtinib,10.0,35.13280780055384,RB1(25); CASP3(16); CHEK1(15); CDK4(13); HSPB1(12),moderate
methotrexate,10.0,34.84017153980264,RB1(25); CASP3(16); CHEK1(15); CDK4(13); HSPB1(12),moderate
epirubicin,10.0,33.28060255445217,RB1(25); CASP3(16); CHEK1(15); CDK4(13); HSPB1(12),moderate
camptothecin,1.11,31.981954292794406,RB1(25); CASP3(16); CHEK1(15); CDK4(13); HSPB1(12),moderate
gemcitabine,10.0,31.72626108790164,RB1(25); CASP3(16); CHEK1(15); CDK4(13); HSPB1(12),moderate
staurosporine,10.0,30.876941871199246,RB1(25); CASP3(16); CHEK1(15); CDK4(13); HSPB1(12),moderate
GDC-0941,10.0,30.17363144253275,RB1(25); CASP3(16); CHEK1(15); CDK4(13); HSPB1(12),moderate
tanespimycin,10.0,27.240619451092442,RB1(25); CASP3(16); CHEK1(15); CDK4(13); HSPB1(12),low
SN-38,1.11,26.677742317736445,RB1(25); CASP3(16); CHEK1(15); CDK4(13); HSPB1(12),low
nutlin-3,10.0,26.184443469410866,RB1(25); CASP3(16); CHEK1(15); CDK4(13); HSPB1(12),low
topotecan,1.11,23.70847203417447,RB1(25); CASP3(16); CHEK1(15); CDK4(13); HSPB1(12),low
lapatinib,10.0,23.688342697122977,RB1(25); CASP3(16); CHEK1(15); CDK4(13); HSPB1(12),low
