drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,68.90107402474223,CCL2(38); CHEK1(37); RB1(32); CDK4(32); KDM5A(23),high
docetaxel,10.0,59.47434567609844,CCL2(38); CHEK1(37); RB1(32); CDK4(32); KDM5A(23),high
vinorelbine,10.0,51.79239825291317,CCL2(38); CHEK1(37); RB1(32); CDK4(32); KDM5A(23),high
vinblastine,10.0,47.300235252120245,CCL2(38); CHEK1(37); RB1(32); CDK4(32); KDM5A(23),moderate
methotrexate,10.0,42.809143396831956,CCL2(38); CHEK1(37); RB1(32); CDK4(32); KDM5A(23),moderate
temsirolimus,10.0,42.372213853207654,CCL2(38); CHEK1(37); RB1(32); CDK4(32); KDM5A(23),moderate
MG-132,10.0,32.17176013128388,CCL2(38); CHEK1(37); RB1(32); CDK4(32); KDM5A(23),moderate
lestaurtinib,10.0,28.618361646935412,CCL2(38); CHEK1(37); RB1(32); CDK4(32); KDM5A(23),low
navitoclax,10.0,26.920160447283344,CCL2(38); CHEK1(37); RB1(32); CDK4(32); KDM5A(23),low
lapatinib,10.0,25.57372418165156,CCL2(38); CHEK1(37); RB1(32); CDK4(32); KDM5A(23),low
bortezomib,10.0,25.018932579353994,CCL2(38); CHEK1(37); RB1(32); CDK4(32); KDM5A(23),low
ABT-737,10.0,22.98942941326762,CCL2(38); CHEK1(37); RB1(32); CDK4(32); KDM5A(23),low
AZD-6482,10.0,22.69162504123028,CCL2(38); CHEK1(37); RB1(32); CDK4(32); KDM5A(23),low
foretinib,10.0,22.455313350416,CCL2(38); CHEK1(37); RB1(32); CDK4(32); KDM5A(23),low
staurosporine,10.0,21.679404750424197,CCL2(38); CHEK1(37); RB1(32); CDK4(32); KDM5A(23),low
MK-1775,10.0,20.751499945799683,CCL2(38); CHEK1(37); RB1(32); CDK4(32); KDM5A(23),low
gemcitabine,10.0,19.083329286662497,CCL2(38); CHEK1(37); RB1(32); CDK4(32); KDM5A(23),low
sorafenib,10.0,18.166736415434105,CCL2(38); CHEK1(37); RB1(32); CDK4(32); KDM5A(23),low
epirubicin,10.0,17.84822154145035,CCL2(38); CHEK1(37); RB1(32); CDK4(32); KDM5A(23),low
nilotinib,10.0,16.074853660848387,CCL2(38); CHEK1(37); RB1(32); CDK4(32); KDM5A(23),low
