drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,0.37,100.0,PPARG(38); JUN(28); EGR1(19); CCL2(16); KDM5A(10),very_high
sirolimus,1.11,99.87469644783502,PPARG(38); JUN(28); EGR1(19); CCL2(16); KDM5A(10),very_high
docetaxel,1.11,67.04221244798359,PPARG(38); JUN(28); EGR1(19); CCL2(16); KDM5A(10),high
paclitaxel,10.0,66.34644632638698,PPARG(38); JUN(28); EGR1(19); CCL2(16); KDM5A(10),high
vinorelbine,10.0,50.063573728354896,PPARG(38); JUN(28); EGR1(19); CCL2(16); KDM5A(10),high
vinblastine,10.0,48.93918953094033,PPARG(38); JUN(28); EGR1(19); CCL2(16); KDM5A(10),moderate
NVP-BEZ235,10.0,34.33081450554018,PPARG(38); JUN(28); EGR1(19); CCL2(16); KDM5A(10),moderate
NVP-AUY922,1.11,34.258363583864124,PPARG(38); JUN(28); EGR1(19); CCL2(16); KDM5A(10),moderate
lestaurtinib,10.0,33.45586112440181,PPARG(38); JUN(28); EGR1(19); CCL2(16); KDM5A(10),moderate
methotrexate,10.0,33.163224863650576,PPARG(38); JUN(28); EGR1(19); CCL2(16); KDM5A(10),moderate
epirubicin,10.0,31.603655878300085,PPARG(38); JUN(28); EGR1(19); CCL2(16); KDM5A(10),moderate
camptothecin,1.11,30.935583240097735,PPARG(38); JUN(28); EGR1(19); CCL2(16); KDM5A(10),moderate
gemcitabine,10.0,30.055675840443204,PPARG(38); JUN(28); EGR1(19); CCL2(16); KDM5A(10),moderate
staurosporine,10.0,29.199995195047187,PPARG(38); JUN(28); EGR1(19); CCL2(16); KDM5A(10),low
GDC-0941,10.0,28.73744307892203,PPARG(38); JUN(28); EGR1(19); CCL2(16); KDM5A(10),low
SN-38,1.11,25.63137126503983,PPARG(38); JUN(28); EGR1(19); CCL2(16); KDM5A(10),low
tanespimycin,10.0,25.56367277494039,PPARG(38); JUN(28); EGR1(19); CCL2(16); KDM5A(10),low
nutlin-3,10.0,24.5006632980575,PPARG(38); JUN(28); EGR1(19); CCL2(16); KDM5A(10),low
topotecan,1.11,22.662100981477863,PPARG(38); JUN(28); EGR1(19); CCL2(16); KDM5A(10),low
lapatinib,10.0,22.011396020970917,PPARG(38); JUN(28); EGR1(19); CCL2(16); KDM5A(10),low
