drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
sirolimus,1.11,100.0,CCL2(39); PPARG(30); CASP3(19); KDM5A(18); CHEK1(13),very_high
temsirolimus,0.04,100.0,CCL2(39); PPARG(30); CASP3(19); KDM5A(18); CHEK1(13),very_high
docetaxel,1.11,69.28082436526678,CCL2(39); PPARG(30); CASP3(19); KDM5A(18); CHEK1(13),high
paclitaxel,10.0,68.94893474673593,CCL2(39); PPARG(30); CASP3(19); KDM5A(18); CHEK1(13),high
vinorelbine,10.0,56.49065136052258,CCL2(39); PPARG(30); CASP3(19); KDM5A(18); CHEK1(13),high
vinblastine,10.0,55.097290051618295,CCL2(39); PPARG(30); CASP3(19); KDM5A(18); CHEK1(13),high
NVP-BEZ235,10.0,41.189106541681056,CCL2(39); PPARG(30); CASP3(19); KDM5A(18); CHEK1(13),moderate
NVP-AUY922,1.11,39.701979125636505,CCL2(39); PPARG(30); CASP3(19); KDM5A(18); CHEK1(13),moderate
camptothecin,1.11,37.29341070514258,CCL2(39); PPARG(30); CASP3(19); KDM5A(18); CHEK1(13),moderate
methotrexate,10.0,36.67390660731962,CCL2(39); PPARG(30); CASP3(19); KDM5A(18); CHEK1(13),moderate
lestaurtinib,10.0,36.49437796526829,CCL2(39); PPARG(30); CASP3(19); KDM5A(18); CHEK1(13),moderate
GDC-0941,10.0,35.687940984481614,CCL2(39); PPARG(30); CASP3(19); KDM5A(18); CHEK1(13),moderate
epirubicin,10.0,34.926462370392706,CCL2(39); PPARG(30); CASP3(19); KDM5A(18); CHEK1(13),moderate
gemcitabine,10.0,33.88491099142716,CCL2(39); PPARG(30); CASP3(19); KDM5A(18); CHEK1(13),moderate
staurosporine,10.0,32.238512035913736,CCL2(39); PPARG(30); CASP3(19); KDM5A(18); CHEK1(13),moderate
SN-38,1.11,32.16212007697442,CCL2(39); PPARG(30); CASP3(19); KDM5A(18); CHEK1(13),moderate
nutlin-3,10.0,29.645511431949995,CCL2(39); PPARG(30); CASP3(19); KDM5A(18); CHEK1(13),low
topotecan,1.11,29.19284979341235,CCL2(39); PPARG(30); CASP3(19); KDM5A(18); CHEK1(13),low
tanespimycin,10.0,29.140123625040513,CCL2(39); PPARG(30); CASP3(19); KDM5A(18); CHEK1(13),low
lapatinib,10.0,28.211582089004132,CCL2(39); PPARG(30); CASP3(19); KDM5A(18); CHEK1(13),low
