drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,0.37,100.0,PPARG(20); PMAIP1(18); JUN(12); SMAD3(11); KDM5A(10),very_high
sirolimus,1.11,99.82423151193929,PPARG(20); PMAIP1(18); JUN(12); SMAD3(11); KDM5A(10),very_high
docetaxel,1.11,66.99518586514539,PPARG(20); PMAIP1(18); JUN(12); SMAD3(11); KDM5A(10),high
paclitaxel,10.0,66.29941974354878,PPARG(20); PMAIP1(18); JUN(12); SMAD3(11); KDM5A(10),high
vinorelbine,10.0,50.07443880280801,PPARG(20); PMAIP1(18); JUN(12); SMAD3(11); KDM5A(10),high
vinblastine,10.0,48.68107749390373,PPARG(20); PMAIP1(18); JUN(12); SMAD3(11); KDM5A(10),moderate
NVP-AUY922,1.11,34.19061748053835,PPARG(20); PMAIP1(18); JUN(12); SMAD3(11); KDM5A(10),moderate
NVP-BEZ235,10.0,34.15023851728512,PPARG(20); PMAIP1(18); JUN(12); SMAD3(11); KDM5A(10),moderate
lestaurtinib,10.0,33.27528513614674,PPARG(20); PMAIP1(18); JUN(12); SMAD3(11); KDM5A(10),moderate
methotrexate,10.0,33.09547876032479,PPARG(20); PMAIP1(18); JUN(12); SMAD3(11); KDM5A(10),moderate
epirubicin,10.0,31.70736954127107,PPARG(20); PMAIP1(18); JUN(12); SMAD3(11); KDM5A(10),moderate
camptothecin,1.11,30.8612922086064,PPARG(20); PMAIP1(18); JUN(12); SMAD3(11); KDM5A(10),moderate
gemcitabine,10.0,30.449086135391504,PPARG(20); PMAIP1(18); JUN(12); SMAD3(11); KDM5A(10),moderate
staurosporine,10.0,29.002138039362062,PPARG(20); PMAIP1(18); JUN(12); SMAD3(11); KDM5A(10),low
GDC-0941,10.0,28.742277891155904,PPARG(20); PMAIP1(18); JUN(12); SMAD3(11); KDM5A(10),low
SN-38,1.11,25.557080233548504,PPARG(20); PMAIP1(18); JUN(12); SMAD3(11); KDM5A(10),low
tanespimycin,10.0,25.495926671614605,PPARG(20); PMAIP1(18); JUN(12); SMAD3(11); KDM5A(10),low
nutlin-3,10.0,24.450198362161778,PPARG(20); PMAIP1(18); JUN(12); SMAD3(11); KDM5A(10),low
topotecan,1.11,22.58780994998653,PPARG(20); PMAIP1(18); JUN(12); SMAD3(11); KDM5A(10),low
lapatinib,10.0,22.372902426005254,PPARG(20); PMAIP1(18); JUN(12); SMAD3(11); KDM5A(10),low
