drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,70.48264729620594,CCL2(22); PMAIP1(21); HES1(14); HSPB1(14); CHEK1(10),very_high
docetaxel,10.0,61.05591894756215,CCL2(22); PMAIP1(21); HES1(14); HSPB1(14); CHEK1(10),high
vinorelbine,10.0,52.84438997231516,CCL2(22); PMAIP1(21); HES1(14); HSPB1(14); CHEK1(10),high
vinblastine,10.0,48.352226971522235,CCL2(22); PMAIP1(21); HES1(14); HSPB1(14); CHEK1(10),moderate
methotrexate,10.0,45.89064219416876,CCL2(22); PMAIP1(21); HES1(14); HSPB1(14); CHEK1(10),moderate
temsirolimus,10.0,45.69081217741549,CCL2(22); PMAIP1(21); HES1(14); HSPB1(14); CHEK1(10),moderate
MG-132,10.0,35.16385579248796,CCL2(22); PMAIP1(21); HES1(14); HSPB1(14); CHEK1(10),moderate
lestaurtinib,10.0,31.780339904632,CCL2(22); PMAIP1(21); HES1(14); HSPB1(14); CHEK1(10),moderate
navitoclax,10.0,30.012413372809597,CCL2(22); PMAIP1(21); HES1(14); HSPB1(14); CHEK1(10),moderate
lapatinib,10.0,29.372787394842646,CCL2(22); PMAIP1(21); HES1(14); HSPB1(14); CHEK1(10),low
bortezomib,10.0,28.301797039902155,CCL2(22); PMAIP1(21); HES1(14); HSPB1(14); CHEK1(10),low
ABT-737,10.0,26.081682338793872,CCL2(22); PMAIP1(21); HES1(14); HSPB1(14); CHEK1(10),low
AZD-6482,10.0,25.929696341762128,CCL2(22); PMAIP1(21); HES1(14); HSPB1(14); CHEK1(10),low
staurosporine,10.0,24.896022255717195,CCL2(22); PMAIP1(21); HES1(14); HSPB1(14); CHEK1(10),low
foretinib,10.0,24.45856791213358,CCL2(22); PMAIP1(21); HES1(14); HSPB1(14); CHEK1(10),low
MK-1775,10.0,24.40927760874093,CCL2(22); PMAIP1(21); HES1(14); HSPB1(14); CHEK1(10),low
gemcitabine,10.0,22.513541516221167,CCL2(22); PMAIP1(21); HES1(14); HSPB1(14); CHEK1(10),low
epirubicin,10.0,21.3695739422567,CCL2(22); PMAIP1(21); HES1(14); HSPB1(14); CHEK1(10),low
sorafenib,10.0,20.20051387539611,CCL2(22); PMAIP1(21); HES1(14); HSPB1(14); CHEK1(10),low
tanespimycin,10.0,18.20206258170441,CCL2(22); PMAIP1(21); HES1(14); HSPB1(14); CHEK1(10),low
