drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,0.37,100.0,KDM5A(18); JUN(16); CHEK1(13); UBE2C(9); AKT1(8),very_high
sirolimus,1.11,100.0,KDM5A(18); JUN(16); CHEK1(13); UBE2C(9); AKT1(8),very_high
docetaxel,1.11,67.19106867470407,KDM5A(18); JUN(16); CHEK1(13); UBE2C(9); AKT1(8),high
paclitaxel,10.0,66.49530255310746,KDM5A(18); JUN(16); CHEK1(13); UBE2C(9); AKT1(8),high
vinorelbine,10.0,50.266811994752885,KDM5A(18); JUN(16); CHEK1(13); UBE2C(9); AKT1(8),high
vinblastine,10.0,48.8734506858486,KDM5A(18); JUN(16); CHEK1(13); UBE2C(9); AKT1(8),moderate
NVP-BEZ235,10.0,34.979762698676765,KDM5A(18); JUN(16); CHEK1(13); UBE2C(9); AKT1(8),moderate
NVP-AUY922,1.11,34.39333378529833,KDM5A(18); JUN(16); CHEK1(13); UBE2C(9); AKT1(8),moderate
methotrexate,10.0,33.794891889357096,KDM5A(18); JUN(16); CHEK1(13); UBE2C(9); AKT1(8),moderate
lestaurtinib,10.0,33.615164424474806,KDM5A(18); JUN(16); CHEK1(13); UBE2C(9); AKT1(8),moderate
epirubicin,10.0,31.91713777723981,KDM5A(18); JUN(16); CHEK1(13); UBE2C(9); AKT1(8),moderate
gemcitabine,10.0,31.162384690833864,KDM5A(18); JUN(16); CHEK1(13); UBE2C(9); AKT1(8),moderate
camptothecin,1.11,31.08100111376071,KDM5A(18); JUN(16); CHEK1(13); UBE2C(9); AKT1(8),moderate
staurosporine,10.0,29.83166222075373,KDM5A(18); JUN(16); CHEK1(13); UBE2C(9); AKT1(8),low
GDC-0941,10.0,28.882860952585006,KDM5A(18); JUN(16); CHEK1(13); UBE2C(9); AKT1(8),low
tanespimycin,10.0,26.195339800646927,KDM5A(18); JUN(16); CHEK1(13); UBE2C(9); AKT1(8),low
SN-38,1.11,25.776789138702807,KDM5A(18); JUN(16); CHEK1(13); UBE2C(9); AKT1(8),low
nutlin-3,10.0,25.156444986395407,KDM5A(18); JUN(16); CHEK1(13); UBE2C(9); AKT1(8),low
topotecan,1.11,22.80751885514083,KDM5A(18); JUN(16); CHEK1(13); UBE2C(9); AKT1(8),low
lapatinib,10.0,22.643063046677455,KDM5A(18); JUN(16); CHEK1(13); UBE2C(9); AKT1(8),low
