drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,68.65451080415409,EGR1(24); CCND1(22); AURKA(20); TLR4(17); RB1(17),high
docetaxel,10.0,59.22778245551031,EGR1(24); CCND1(22); AURKA(20); TLR4(17); RB1(17),high
vinorelbine,10.0,52.06117094303784,EGR1(24); CCND1(22); AURKA(20); TLR4(17); RB1(17),high
vinblastine,10.0,47.5690079422449,EGR1(24); CCND1(22); AURKA(20); TLR4(17); RB1(17),moderate
temsirolimus,10.0,44.3780697753662,EGR1(24); CCND1(22); AURKA(20); TLR4(17); RB1(17),moderate
methotrexate,10.0,43.768128928784215,EGR1(24); CCND1(22); AURKA(20); TLR4(17); RB1(17),moderate
MG-132,10.0,33.54397260397243,EGR1(24); CCND1(22); AURKA(20); TLR4(17); RB1(17),moderate
lestaurtinib,10.0,30.608809135642375,EGR1(24); CCND1(22); AURKA(20); TLR4(17); RB1(17),moderate
navitoclax,10.0,28.86124506583935,EGR1(24); CCND1(22); AURKA(20); TLR4(17); RB1(17),low
lapatinib,10.0,27.08095316451284,EGR1(24); CCND1(22); AURKA(20); TLR4(17); RB1(17),low
bortezomib,10.0,26.39114505204256,EGR1(24); CCND1(22); AURKA(20); TLR4(17); RB1(17),low
ABT-737,10.0,24.930514031823623,EGR1(24); CCND1(22); AURKA(20); TLR4(17); RB1(17),low
AZD-6482,10.0,23.88154581729445,EGR1(24); CCND1(22); AURKA(20); TLR4(17); RB1(17),low
staurosporine,10.0,23.66985223913111,EGR1(24); CCND1(22); AURKA(20); TLR4(17); RB1(17),low
foretinib,10.0,22.186262378997952,EGR1(24); CCND1(22); AURKA(20); TLR4(17); RB1(17),low
MK-1775,10.0,21.976075285535497,EGR1(24); CCND1(22); AURKA(20); TLR4(17); RB1(17),low
gemcitabine,10.0,20.042314818614777,EGR1(24); CCND1(22); AURKA(20); TLR4(17); RB1(17),low
epirubicin,10.0,19.838669030157256,EGR1(24); CCND1(22); AURKA(20); TLR4(17); RB1(17),low
sorafenib,10.0,18.80320788331883,EGR1(24); CCND1(22); AURKA(20); TLR4(17); RB1(17),low
nilotinib,10.0,16.326830582742016,EGR1(24); CCND1(22); AURKA(20); TLR4(17); RB1(17),low
