drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,1.11,100.0,PPARG(90); GATA3(61); CCL2(31); AXIN1(30); HES1(30),very_high
sirolimus,1.11,98.97843795719602,PPARG(90); GATA3(61); CCL2(31); AXIN1(30); HES1(30),very_high
docetaxel,1.11,66.72831560074134,PPARG(90); GATA3(61); CCL2(31); AXIN1(30); HES1(30),high
paclitaxel,10.0,66.0325494791447,PPARG(90); GATA3(61); CCL2(31); AXIN1(30); HES1(30),high
vinorelbine,10.0,48.51415398391465,PPARG(90); GATA3(61); CCL2(31); AXIN1(30); HES1(30),moderate
vinblastine,10.0,47.38976978650009,PPARG(90); GATA3(61); CCL2(31); AXIN1(30); HES1(30),moderate
NVP-AUY922,1.11,35.20138300018681,PPARG(90); GATA3(61); CCL2(31); AXIN1(30); HES1(30),moderate
NVP-BEZ235,10.0,35.02790637956695,PPARG(90); GATA3(61); CCL2(31); AXIN1(30); HES1(30),moderate
lestaurtinib,10.0,33.66330810536499,PPARG(90); GATA3(61); CCL2(31); AXIN1(30); HES1(30),moderate
epirubicin,10.0,33.12585501897627,PPARG(90); GATA3(61); CCL2(31); AXIN1(30); HES1(30),moderate
methotrexate,10.0,32.92462919660145,PPARG(90); GATA3(61); CCL2(31); AXIN1(30); HES1(30),moderate
camptothecin,1.11,32.4695962861701,PPARG(90); GATA3(61); CCL2(31); AXIN1(30); HES1(30),moderate
gemcitabine,10.0,31.53118022153787,PPARG(90); GATA3(61); CCL2(31); AXIN1(30); HES1(30),moderate
staurosporine,10.0,30.646544930843543,PPARG(90); GATA3(61); CCL2(31); AXIN1(30); HES1(30),moderate
GDC-0941,10.0,29.787490302268644,PPARG(90); GATA3(61); CCL2(31); AXIN1(30); HES1(30),low
SN-38,1.11,27.16538431111217,PPARG(90); GATA3(61); CCL2(31); AXIN1(30); HES1(30),low
tanespimycin,10.0,26.459997431681657,PPARG(90); GATA3(61); CCL2(31); AXIN1(30); HES1(30),low
nutlin-3,10.0,25.32741763520996,PPARG(90); GATA3(61); CCL2(31); AXIN1(30); HES1(30),low
topotecan,1.11,24.196114027550195,PPARG(90); GATA3(61); CCL2(31); AXIN1(30); HES1(30),low
dactinomycin,10.0,23.578600270928145,PPARG(90); GATA3(61); CCL2(31); AXIN1(30); HES1(30),low
