drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
sirolimus,1.11,100.0,JUN(26); EGR1(19); RB1(18); KDM5A(12); HES1(10),very_high
temsirolimus,0.37,100.0,JUN(26); EGR1(19); RB1(18); KDM5A(12); HES1(10),very_high
docetaxel,1.11,67.36543275377988,JUN(26); EGR1(19); RB1(18); KDM5A(12); HES1(10),high
paclitaxel,10.0,67.03354313524903,JUN(26); EGR1(19); RB1(18); KDM5A(12); HES1(10),high
vinorelbine,10.0,51.48981189524572,JUN(26); EGR1(19); RB1(18); KDM5A(12); HES1(10),high
vinblastine,10.0,50.09645058634144,JUN(26); EGR1(19); RB1(18); KDM5A(12); HES1(10),high
NVP-BEZ235,10.0,36.0370659342883,JUN(26); EGR1(19); RB1(18); KDM5A(12); HES1(10),moderate
methotrexate,10.0,34.99958734475806,JUN(26); EGR1(19); RB1(18); KDM5A(12); HES1(10),moderate
NVP-AUY922,1.11,34.99127971283942,JUN(26); EGR1(19); RB1(18); KDM5A(12); HES1(10),moderate
lestaurtinib,10.0,34.6585822336763,JUN(26); EGR1(19); RB1(18); KDM5A(12); HES1(10),moderate
epirubicin,10.0,33.090666638800684,JUN(26); EGR1(19); RB1(18); KDM5A(12); HES1(10),moderate
gemcitabine,10.0,32.03985549172378,JUN(26); EGR1(19); RB1(18); KDM5A(12); HES1(10),moderate
camptothecin,1.11,31.63783977827616,JUN(26); EGR1(19); RB1(18); KDM5A(12); HES1(10),moderate
staurosporine,10.0,30.906246623795305,JUN(26); EGR1(19); RB1(18); KDM5A(12); HES1(10),moderate
GDC-0941,10.0,29.829516928014534,JUN(26); EGR1(19); RB1(18); KDM5A(12); HES1(10),low
tanespimycin,10.0,27.400035256047847,JUN(26); EGR1(19); RB1(18); KDM5A(12); HES1(10),low
nutlin-3,10.0,26.34385927436627,JUN(26); EGR1(19); RB1(18); KDM5A(12); HES1(10),low
SN-38,1.11,26.333627803218224,JUN(26); EGR1(19); RB1(18); KDM5A(12); HES1(10),low
lapatinib,10.0,23.84775850207838,JUN(26); EGR1(19); RB1(18); KDM5A(12); HES1(10),low
navitoclax,10.0,23.689420301972973,JUN(26); EGR1(19); RB1(18); KDM5A(12); HES1(10),low
