drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,1.11,99.620595335937,HDAC2(36); RB1(34); HSPB1(15); JUN(15); GATA3(13),very_high
sirolimus,1.11,98.35579448611996,HDAC2(36); RB1(34); HSPB1(15); JUN(15); GATA3(13),very_high
docetaxel,1.11,65.55693211142506,HDAC2(36); RB1(34); HSPB1(15); JUN(15); GATA3(13),high
paclitaxel,10.0,64.86116598982845,HDAC2(36); RB1(34); HSPB1(15); JUN(15); GATA3(13),high
vinorelbine,10.0,48.68357754312288,HDAC2(36); RB1(34); HSPB1(15); JUN(15); GATA3(13),moderate
vinblastine,10.0,47.2902162342186,HDAC2(36); RB1(34); HSPB1(15); JUN(15); GATA3(13),moderate
NVP-AUY922,1.11,34.12485149338123,HDAC2(36); RB1(34); HSPB1(15); JUN(15); GATA3(13),moderate
methotrexate,10.0,33.52640959744002,HDAC2(36); RB1(34); HSPB1(15); JUN(15); GATA3(13),moderate
NVP-BEZ235,10.0,33.24913602725736,HDAC2(36); RB1(34); HSPB1(15); JUN(15); GATA3(13),moderate
lestaurtinib,10.0,31.870652326645352,HDAC2(36); RB1(34); HSPB1(15); JUN(15); GATA3(13),moderate
epirubicin,10.0,31.463310292615905,HDAC2(36); RB1(34); HSPB1(15); JUN(15); GATA3(13),moderate
camptothecin,1.11,30.77141155881797,HDAC2(36); RB1(34); HSPB1(15); JUN(15); GATA3(13),moderate
gemcitabine,10.0,30.708557206209964,HDAC2(36); RB1(34); HSPB1(15); JUN(15); GATA3(13),moderate
staurosporine,10.0,29.433068876477286,HDAC2(36); RB1(34); HSPB1(15); JUN(15); GATA3(13),low
GDC-0941,10.0,28.652397241367453,HDAC2(36); RB1(34); HSPB1(15); JUN(15); GATA3(13),low
tanespimycin,10.0,25.907121908859594,HDAC2(36); RB1(34); HSPB1(15); JUN(15); GATA3(13),low
SN-38,1.11,25.467199583760053,HDAC2(36); RB1(34); HSPB1(15); JUN(15); GATA3(13),low
nutlin-3,10.0,24.819779415399267,HDAC2(36); RB1(34); HSPB1(15); JUN(15); GATA3(13),low
lapatinib,10.0,22.803833263120477,HDAC2(36); RB1(34); HSPB1(15); JUN(15); GATA3(13),low
topotecan,1.11,22.497929300198077,HDAC2(36); RB1(34); HSPB1(15); JUN(15); GATA3(13),low
