drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,72.47551111748689,PPARG(65); CCL2(42); EGR1(37); HES1(32); GATA3(20),very_high
docetaxel,10.0,61.286658757336525,PPARG(65); CCL2(42); EGR1(37); HES1(32); GATA3(20),high
vinorelbine,10.0,55.37710071558939,PPARG(65); CCL2(42); EGR1(37); HES1(32); GATA3(20),high
vinblastine,10.0,50.884937714796465,PPARG(65); CCL2(42); EGR1(37); HES1(32); GATA3(20),high
temsirolimus,10.0,46.2456224345547,PPARG(65); CCL2(42); EGR1(37); HES1(32); GATA3(20),moderate
methotrexate,10.0,45.82820013443527,PPARG(65); CCL2(42); EGR1(37); HES1(32); GATA3(20),moderate
MG-132,10.0,35.26886428193269,PPARG(65); CCL2(42); EGR1(37); HES1(32); GATA3(20),moderate
lestaurtinib,10.0,32.44271327773446,PPARG(65); CCL2(42); EGR1(37); HES1(32); GATA3(20),moderate
lapatinib,10.0,30.046562882315076,PPARG(65); CCL2(42); EGR1(37); HES1(32); GATA3(20),moderate
bortezomib,10.0,29.307011728154748,PPARG(65); CCL2(42); EGR1(37); HES1(32); GATA3(20),low
navitoclax,10.0,28.80321892087251,PPARG(65); CCL2(42); EGR1(37); HES1(32); GATA3(20),low
AZD-6482,10.0,26.934911030014714,PPARG(65); CCL2(42); EGR1(37); HES1(32); GATA3(20),low
staurosporine,10.0,25.558395628819657,PPARG(65); CCL2(42); EGR1(37); HES1(32); GATA3(20),low
MK-1775,10.0,25.484053815199175,PPARG(65); CCL2(42); EGR1(37); HES1(32); GATA3(20),low
foretinib,10.0,24.94872209103248,PPARG(65); CCL2(42); EGR1(37); HES1(32); GATA3(20),low
ABT-737,10.0,24.872487886856792,PPARG(65); CCL2(42); EGR1(37); HES1(32); GATA3(20),low
gemcitabine,10.0,23.46359402118091,PPARG(65); CCL2(42); EGR1(37); HES1(32); GATA3(20),low
sorafenib,10.0,22.752124465951756,PPARG(65); CCL2(42); EGR1(37); HES1(32); GATA3(20),low
epirubicin,10.0,21.747609027686508,PPARG(65); CCL2(42); EGR1(37); HES1(32); GATA3(20),low
nilotinib,10.0,20.330386412971425,PPARG(65); CCL2(42); EGR1(37); HES1(32); GATA3(20),low
