drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,0.37,100.0,CHEK1(29); PPARG(22); AKT1(19); ERBB2(18); HSPB1(17),very_high
sirolimus,1.11,99.83887317947664,CHEK1(29); PPARG(22); AKT1(19); ERBB2(18); HSPB1(17),very_high
docetaxel,1.11,66.70849398235822,CHEK1(29); PPARG(22); AKT1(19); ERBB2(18); HSPB1(17),high
paclitaxel,10.0,66.37660436382737,CHEK1(29); PPARG(22); AKT1(19); ERBB2(18); HSPB1(17),high
vinorelbine,10.0,50.780239259540664,CHEK1(29); PPARG(22); AKT1(19); ERBB2(18); HSPB1(17),high
vinblastine,10.0,49.38687795063638,CHEK1(29); PPARG(22); AKT1(19); ERBB2(18); HSPB1(17),moderate
NVP-BEZ235,10.0,34.842267424201516,CHEK1(29); PPARG(22); AKT1(19); ERBB2(18); HSPB1(17),moderate
NVP-AUY922,1.11,34.29317802702496,CHEK1(29); PPARG(22); AKT1(19); ERBB2(18); HSPB1(17),moderate
lestaurtinib,10.0,33.96731404306314,CHEK1(29); PPARG(22); AKT1(19); ERBB2(18); HSPB1(17),moderate
methotrexate,10.0,33.804788834671285,CHEK1(29); PPARG(22); AKT1(19); ERBB2(18); HSPB1(17),moderate
epirubicin,10.0,32.39939844818751,CHEK1(29); PPARG(22); AKT1(19); ERBB2(18); HSPB1(17),moderate
camptothecin,1.11,30.946571587663023,CHEK1(29); PPARG(22); AKT1(19); ERBB2(18); HSPB1(17),moderate
gemcitabine,10.0,30.930288512477503,CHEK1(29); PPARG(22); AKT1(19); ERBB2(18); HSPB1(17),moderate
staurosporine,10.0,29.711448113708553,CHEK1(29); PPARG(22); AKT1(19); ERBB2(18); HSPB1(17),low
GDC-0941,10.0,29.1681805201123,CHEK1(29); PPARG(22); AKT1(19); ERBB2(18); HSPB1(17),low
tanespimycin,10.0,26.18550114609086,CHEK1(29); PPARG(22); AKT1(19); ERBB2(18); HSPB1(17),low
SN-38,1.11,25.642359612605098,CHEK1(29); PPARG(22); AKT1(19); ERBB2(18); HSPB1(17),low
nutlin-3,10.0,25.091325157429228,CHEK1(29); PPARG(22); AKT1(19); ERBB2(18); HSPB1(17),low
navitoclax,10.0,22.709772678226233,CHEK1(29); PPARG(22); AKT1(19); ERBB2(18); HSPB1(17),low
topotecan,1.11,22.673089329043123,CHEK1(29); PPARG(22); AKT1(19); ERBB2(18); HSPB1(17),low
