drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
sirolimus,1.11,100.0,RB1(34); JUN(29); CDKN1B(27); PPARG(21); SRC(18),very_high
temsirolimus,0.37,100.0,RB1(34); JUN(29); CDKN1B(27); PPARG(21); SRC(18),very_high
docetaxel,1.11,66.90529574655956,RB1(34); JUN(29); CDKN1B(27); PPARG(21); SRC(18),high
paclitaxel,10.0,66.57340612802867,RB1(34); JUN(29); CDKN1B(27); PPARG(21); SRC(18),high
vinorelbine,10.0,49.84154448486264,RB1(34); JUN(29); CDKN1B(27); PPARG(21); SRC(18),moderate
vinblastine,10.0,48.448183175958356,RB1(34); JUN(29); CDKN1B(27); PPARG(21); SRC(18),moderate
NVP-AUY922,1.11,36.404255378776426,RB1(34); JUN(29); CDKN1B(27); PPARG(21); SRC(18),moderate
NVP-BEZ235,10.0,36.1352894405124,RB1(34); JUN(29); CDKN1B(27); PPARG(21); SRC(18),moderate
lestaurtinib,10.0,34.7568057399004,RB1(34); JUN(29); CDKN1B(27); PPARG(21); SRC(18),moderate
epirubicin,10.0,34.50364230473772,RB1(34); JUN(29); CDKN1B(27); PPARG(21); SRC(18),moderate
methotrexate,10.0,34.16212330990624,RB1(34); JUN(29); CDKN1B(27); PPARG(21); SRC(18),moderate
camptothecin,1.11,33.050815444213214,RB1(34); JUN(29); CDKN1B(27); PPARG(21); SRC(18),moderate
gemcitabine,10.0,32.90260607860573,RB1(34); JUN(29); CDKN1B(27); PPARG(21); SRC(18),moderate
staurosporine,10.0,32.31922228973239,RB1(34); JUN(29); CDKN1B(27); PPARG(21); SRC(18),moderate
GDC-0941,10.0,30.784226103032086,RB1(34); JUN(29); CDKN1B(27); PPARG(21); SRC(18),moderate
tanespimycin,10.0,28.243050243059553,RB1(34); JUN(29); CDKN1B(27); PPARG(21); SRC(18),low
SN-38,1.11,27.746603469155254,RB1(34); JUN(29); CDKN1B(27); PPARG(21); SRC(18),low
nutlin-3,10.0,26.52084313206706,RB1(34); JUN(29); CDKN1B(27); PPARG(21); SRC(18),low
lapatinib,10.0,24.802467677095933,RB1(34); JUN(29); CDKN1B(27); PPARG(21); SRC(18),low
topotecan,1.11,24.777333185593285,RB1(34); JUN(29); CDKN1B(27); PPARG(21); SRC(18),low
