drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,69.22009769090322,SRC(14); HES1(13); CHEK1(12); EGR1(9); RB1(9),high
docetaxel,10.0,59.79336934225944,SRC(14); HES1(13); CHEK1(12); EGR1(9); RB1(9),high
vinorelbine,10.0,52.111421919074175,SRC(14); HES1(13); CHEK1(12); EGR1(9); RB1(9),high
vinblastine,10.0,47.61925891828125,SRC(14); HES1(13); CHEK1(12); EGR1(9); RB1(9),moderate
methotrexate,10.0,43.90210717259515,SRC(14); HES1(13); CHEK1(12); EGR1(9); RB1(9),moderate
temsirolimus,10.0,43.17652657528272,SRC(14); HES1(13); CHEK1(12); EGR1(9); RB1(9),moderate
MG-132,10.0,33.21887355963261,SRC(14); HES1(13); CHEK1(12); EGR1(9); RB1(9),moderate
lestaurtinib,10.0,28.96820560133871,SRC(14); HES1(13); CHEK1(12); EGR1(9); RB1(9),low
navitoclax,10.0,27.76206603268812,SRC(14); HES1(13); CHEK1(12); EGR1(9); RB1(9),low
lapatinib,10.0,26.953187669981507,SRC(14); HES1(13); CHEK1(12); EGR1(9); RB1(9),low
bortezomib,10.0,26.111896355117185,SRC(14); HES1(13); CHEK1(12); EGR1(9); RB1(9),low
ABT-737,10.0,23.831334998672396,SRC(14); HES1(13); CHEK1(12); EGR1(9); RB1(9),low
AZD-6482,10.0,23.772001068087167,SRC(14); HES1(13); CHEK1(12); EGR1(9); RB1(9),low
foretinib,10.0,22.803391595760413,SRC(14); HES1(13); CHEK1(12); EGR1(9); RB1(9),low
MK-1775,10.0,22.212162499322915,SRC(14); HES1(13); CHEK1(12); EGR1(9); RB1(9),low
staurosporine,10.0,22.029248704827488,SRC(14); HES1(13); CHEK1(12); EGR1(9); RB1(9),low
gemcitabine,10.0,20.17629306242569,SRC(14); HES1(13); CHEK1(12); EGR1(9); RB1(9),low
sorafenib,10.0,18.899309206769615,SRC(14); HES1(13); CHEK1(12); EGR1(9); RB1(9),low
epirubicin,10.0,18.218462103694353,SRC(14); HES1(13); CHEK1(12); EGR1(9); RB1(9),low
nilotinib,10.0,16.422931906192794,SRC(14); HES1(13); CHEK1(12); EGR1(9); RB1(9),low
