drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
sirolimus,0.37,100.0,IKBKB(38); JUN(33); CCL2(24); KDM5A(19); EGR1(18),very_high
temsirolimus,0.04,100.0,IKBKB(38); JUN(33); CCL2(24); KDM5A(19); EGR1(18),very_high
docetaxel,1.11,69.80621170726316,IKBKB(38); JUN(33); CCL2(24); KDM5A(19); EGR1(18),high
paclitaxel,10.0,69.11044558566655,IKBKB(38); JUN(33); CCL2(24); KDM5A(19); EGR1(18),high
vinorelbine,10.0,56.08573368451249,IKBKB(38); JUN(33); CCL2(24); KDM5A(19); EGR1(18),high
vinblastine,10.0,54.692372375608215,IKBKB(38); JUN(33); CCL2(24); KDM5A(19); EGR1(18),high
NVP-BEZ235,10.0,41.8559070069964,IKBKB(38); JUN(33); CCL2(24); KDM5A(19); EGR1(18),moderate
NVP-AUY922,1.11,40.33265323770064,IKBKB(38); JUN(33); CCL2(24); KDM5A(19); EGR1(18),moderate
camptothecin,1.11,37.60369781082137,IKBKB(38); JUN(33); CCL2(24); KDM5A(19); EGR1(18),moderate
lestaurtinib,10.0,36.52875022170133,IKBKB(38); JUN(33); CCL2(24); KDM5A(19); EGR1(18),moderate
methotrexate,10.0,36.3599789809885,IKBKB(38); JUN(33); CCL2(24); KDM5A(19); EGR1(18),moderate
GDC-0941,10.0,35.933139770745086,IKBKB(38); JUN(33); CCL2(24); KDM5A(19); EGR1(18),moderate
epirubicin,10.0,34.96083462682574,IKBKB(38); JUN(33); CCL2(24); KDM5A(19); EGR1(18),moderate
gemcitabine,10.0,34.76253798657299,IKBKB(38); JUN(33); CCL2(24); KDM5A(19); EGR1(18),moderate
SN-38,1.11,32.803241861267296,IKBKB(38); JUN(33); CCL2(24); KDM5A(19); EGR1(18),moderate
staurosporine,10.0,32.70255016265817,IKBKB(38); JUN(33); CCL2(24); KDM5A(19); EGR1(18),moderate
nutlin-3,10.0,30.31914539246664,IKBKB(38); JUN(33); CCL2(24); KDM5A(19); EGR1(18),moderate
tanespimycin,10.0,29.789642922925797,IKBKB(38); JUN(33); CCL2(24); KDM5A(19); EGR1(18),low
topotecan,1.11,29.503136899091125,IKBKB(38); JUN(33); CCL2(24); KDM5A(19); EGR1(18),low
BI-2536,1.11,28.635814302282906,IKBKB(38); JUN(33); CCL2(24); KDM5A(19); EGR1(18),low
