drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,69.8449574556725,KDM5A(23); HSPB1(21); HES1(15); CCL2(15); AKT1(14),high
docetaxel,10.0,60.41822910702872,KDM5A(23); HSPB1(21); HES1(15); CCL2(15); AKT1(14),high
vinorelbine,10.0,53.25161759455625,KDM5A(23); HSPB1(21); HES1(15); CCL2(15); AKT1(14),high
vinblastine,10.0,48.759454593763316,KDM5A(23); HSPB1(21); HES1(15); CCL2(15); AKT1(14),moderate
temsirolimus,10.0,44.49942934479556,KDM5A(23); HSPB1(21); HES1(15); CCL2(15); AKT1(14),moderate
methotrexate,10.0,43.90988510605429,KDM5A(23); HSPB1(21); HES1(15); CCL2(15); AKT1(14),moderate
MG-132,10.0,33.6857287812425,KDM5A(23); HSPB1(21); HES1(15); CCL2(15); AKT1(14),moderate
lestaurtinib,10.0,30.730168705071712,KDM5A(23); HSPB1(21); HES1(15); CCL2(15); AKT1(14),moderate
navitoclax,10.0,29.003001243109413,KDM5A(23); HSPB1(21); HES1(15); CCL2(15); AKT1(14),low
lapatinib,10.0,27.222709341782906,KDM5A(23); HSPB1(21); HES1(15); CCL2(15); AKT1(14),low
bortezomib,10.0,26.532901229312625,KDM5A(23); HSPB1(21); HES1(15); CCL2(15); AKT1(14),low
ABT-737,10.0,25.072270209093688,KDM5A(23); HSPB1(21); HES1(15); CCL2(15); AKT1(14),low
AZD-6482,10.0,24.01071424565821,KDM5A(23); HSPB1(21); HES1(15); CCL2(15); AKT1(14),low
staurosporine,10.0,23.791211808560455,KDM5A(23); HSPB1(21); HES1(15); CCL2(15); AKT1(14),low
foretinib,10.0,23.37670903051635,KDM5A(23); HSPB1(21); HES1(15); CCL2(15); AKT1(14),low
MK-1775,10.0,22.11783146280556,KDM5A(23); HSPB1(21); HES1(15); CCL2(15); AKT1(14),low
gemcitabine,10.0,20.184070995884834,KDM5A(23); HSPB1(21); HES1(15); CCL2(15); AKT1(14),low
sorafenib,10.0,19.993654534837226,KDM5A(23); HSPB1(21); HES1(15); CCL2(15); AKT1(14),low
epirubicin,10.0,19.98042520742732,KDM5A(23); HSPB1(21); HES1(15); CCL2(15); AKT1(14),low
nilotinib,10.0,17.517277234260412,KDM5A(23); HSPB1(21); HES1(15); CCL2(15); AKT1(14),low
