drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,69.80338835700285,SRC(34); EGR1(34); RB1(32); ABL1(29); CCL2(26),high
docetaxel,10.0,60.376660008359124,SRC(34); EGR1(34); RB1(32); ABL1(29); CCL2(26),high
vinorelbine,10.0,53.21004849588665,SRC(34); EGR1(34); RB1(32); ABL1(29); CCL2(26),high
vinblastine,10.0,48.71788549509372,SRC(34); EGR1(34); RB1(32); ABL1(29); CCL2(26),moderate
methotrexate,10.0,44.486907152941306,SRC(34); EGR1(34); RB1(32); ABL1(29); CCL2(26),moderate
temsirolimus,10.0,43.520888902271494,SRC(34); EGR1(34); RB1(32); ABL1(29); CCL2(26),moderate
MG-132,10.0,34.26275082812952,SRC(34); EGR1(34); RB1(32); ABL1(29); CCL2(26),moderate
lestaurtinib,10.0,29.751628262547626,SRC(34); EGR1(34); RB1(32); ABL1(29); CCL2(26),low
navitoclax,10.0,28.004064192744636,SRC(34); EGR1(34); RB1(32); ABL1(29); CCL2(26),low
lapatinib,10.0,27.799731388669926,SRC(34); EGR1(34); RB1(32); ABL1(29); CCL2(26),low
bortezomib,10.0,27.109923276199652,SRC(34); EGR1(34); RB1(32); ABL1(29); CCL2(26),low
AZD-6482,10.0,24.587736292545237,SRC(34); EGR1(34); RB1(32); ABL1(29); CCL2(26),low
ABT-737,10.0,24.073333158728918,SRC(34); EGR1(34); RB1(32); ABL1(29); CCL2(26),low
foretinib,10.0,23.33513993184676,SRC(34); EGR1(34); RB1(32); ABL1(29); CCL2(26),low
staurosporine,10.0,22.81267136603639,SRC(34); EGR1(34); RB1(32); ABL1(29); CCL2(26),low
MK-1775,10.0,22.69485350969258,SRC(34); EGR1(34); RB1(32); ABL1(29); CCL2(26),low
gemcitabine,10.0,20.761093042771854,SRC(34); EGR1(34); RB1(32); ABL1(29); CCL2(26),low
sorafenib,10.0,19.95208543616764,SRC(34); EGR1(34); RB1(32); ABL1(29); CCL2(26),low
epirubicin,10.0,18.981488157062543,SRC(34); EGR1(34); RB1(32); ABL1(29); CCL2(26),low
nilotinib,10.0,17.475708135590825,SRC(34); EGR1(34); RB1(32); ABL1(29); CCL2(26),low
