drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,1.11,100.0,PPARG(21); IKBKB(19); JUN(18); CHEK1(13); SMAD3(11),very_high
sirolimus,1.11,99.36199894604876,PPARG(21); IKBKB(19); JUN(18); CHEK1(13); SMAD3(11),very_high
docetaxel,1.11,66.5458554039238,PPARG(21); IKBKB(19); JUN(18); CHEK1(13); SMAD3(11),high
paclitaxel,10.0,65.85008928232719,PPARG(21); IKBKB(19); JUN(18); CHEK1(13); SMAD3(11),high
vinorelbine,10.0,49.687295663099725,PPARG(21); IKBKB(19); JUN(18); CHEK1(13); SMAD3(11),moderate
vinblastine,10.0,48.29393435419544,PPARG(21); IKBKB(19); JUN(18); CHEK1(13); SMAD3(11),moderate
NVP-AUY922,1.11,33.79902262616707,PPARG(21); IKBKB(19); JUN(18); CHEK1(13); SMAD3(11),moderate
NVP-BEZ235,10.0,33.751810167712534,PPARG(21); IKBKB(19); JUN(18); CHEK1(13); SMAD3(11),moderate
lestaurtinib,10.0,32.87685678657416,PPARG(21); IKBKB(19); JUN(18); CHEK1(13); SMAD3(11),moderate
methotrexate,10.0,31.87928045650337,PPARG(21); IKBKB(19); JUN(18); CHEK1(13); SMAD3(11),moderate
epirubicin,10.0,31.30894119169851,PPARG(21); IKBKB(19); JUN(18); CHEK1(13); SMAD3(11),moderate
camptothecin,1.11,30.46286385903384,PPARG(21); IKBKB(19); JUN(18); CHEK1(13); SMAD3(11),moderate
gemcitabine,10.0,30.05065778581894,PPARG(21); IKBKB(19); JUN(18); CHEK1(13); SMAD3(11),moderate
staurosporine,10.0,28.6037096897895,PPARG(21); IKBKB(19); JUN(18); CHEK1(13); SMAD3(11),low
GDC-0941,10.0,28.288549793453747,PPARG(21); IKBKB(19); JUN(18); CHEK1(13); SMAD3(11),low
SN-38,1.11,25.158651883975942,PPARG(21); IKBKB(19); JUN(18); CHEK1(13); SMAD3(11),low
tanespimycin,10.0,25.0777627221718,PPARG(21); IKBKB(19); JUN(18); CHEK1(13); SMAD3(11),low
nutlin-3,10.0,24.007701396141538,PPARG(21); IKBKB(19); JUN(18); CHEK1(13); SMAD3(11),low
topotecan,1.11,22.189381600413967,PPARG(21); IKBKB(19); JUN(18); CHEK1(13); SMAD3(11),low
lapatinib,10.0,21.974474076432692,PPARG(21); IKBKB(19); JUN(18); CHEK1(13); SMAD3(11),low
