drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,0.04,100.0,RB1(28); PPARG(24); CHEK1(12); AXIN1(11); HSPB1(10),very_high
sirolimus,1.11,100.0,RB1(28); PPARG(24); CHEK1(12); AXIN1(11); HSPB1(10),very_high
docetaxel,1.11,67.331869009507,RB1(28); PPARG(24); CHEK1(12); AXIN1(11); HSPB1(10),high
paclitaxel,10.0,66.99997939097615,RB1(28); PPARG(24); CHEK1(12); AXIN1(11); HSPB1(10),high
vinorelbine,10.0,51.66733360517124,RB1(28); PPARG(24); CHEK1(12); AXIN1(11); HSPB1(10),high
vinblastine,10.0,50.273972296266955,RB1(28); PPARG(24); CHEK1(12); AXIN1(11); HSPB1(10),high
NVP-BEZ235,10.0,35.650802443388706,RB1(28); PPARG(24); CHEK1(12); AXIN1(11); HSPB1(10),moderate
NVP-AUY922,1.11,34.97843548905411,RB1(28); PPARG(24); CHEK1(12); AXIN1(11); HSPB1(10),moderate
lestaurtinib,10.0,34.77584906225033,RB1(28); PPARG(24); CHEK1(12); AXIN1(11); HSPB1(10),moderate
methotrexate,10.0,34.48321280149913,RB1(28); PPARG(24); CHEK1(12); AXIN1(11); HSPB1(10),moderate
epirubicin,10.0,32.92364381614866,RB1(28); PPARG(24); CHEK1(12); AXIN1(11); HSPB1(10),moderate
camptothecin,1.11,31.674520981892716,RB1(28); PPARG(24); CHEK1(12); AXIN1(11); HSPB1(10),moderate
gemcitabine,10.0,31.348582829110526,RB1(28); PPARG(24); CHEK1(12); AXIN1(11); HSPB1(10),moderate
staurosporine,10.0,30.519983132895714,RB1(28); PPARG(24); CHEK1(12); AXIN1(11); HSPB1(10),moderate
GDC-0941,10.0,29.816672704229223,RB1(28); PPARG(24); CHEK1(12); AXIN1(11); HSPB1(10),low
tanespimycin,10.0,26.883660712788917,RB1(28); PPARG(24); CHEK1(12); AXIN1(11); HSPB1(10),low
SN-38,1.11,26.370309006834766,RB1(28); PPARG(24); CHEK1(12); AXIN1(11); HSPB1(10),low
nutlin-3,10.0,25.827484731107333,RB1(28); PPARG(24); CHEK1(12); AXIN1(11); HSPB1(10),low
topotecan,1.11,23.401038723272798,RB1(28); PPARG(24); CHEK1(12); AXIN1(11); HSPB1(10),low
lapatinib,10.0,23.33138395881945,RB1(28); PPARG(24); CHEK1(12); AXIN1(11); HSPB1(10),low
