drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,1.11,100.0,RB1(49); CDK4(34); PPARG(25); KDM5A(19); CHEK1(13),very_high
sirolimus,1.11,99.55222916684336,RB1(49); CDK4(34); PPARG(25); KDM5A(19); CHEK1(13),very_high
docetaxel,1.11,66.71291167179064,RB1(49); CDK4(34); PPARG(25); KDM5A(19); CHEK1(13),high
paclitaxel,10.0,66.01714555019403,RB1(49); CDK4(34); PPARG(25); KDM5A(19); CHEK1(13),high
vinorelbine,10.0,49.812884129940805,RB1(49); CDK4(34); PPARG(25); KDM5A(19); CHEK1(13),moderate
vinblastine,10.0,48.41952282103652,RB1(49); CDK4(34); PPARG(25); KDM5A(19); CHEK1(13),moderate
NVP-BEZ235,10.0,34.0015137293472,RB1(49); CDK4(34); PPARG(25); KDM5A(19); CHEK1(13),moderate
NVP-AUY922,1.11,33.93589630287245,RB1(49); CDK4(34); PPARG(25); KDM5A(19); CHEK1(13),moderate
lestaurtinib,10.0,33.12656034820883,RB1(49); CDK4(34); PPARG(25); KDM5A(19); CHEK1(13),moderate
methotrexate,10.0,32.83392408745757,RB1(49); CDK4(34); PPARG(25); KDM5A(19); CHEK1(13),moderate
epirubicin,10.0,31.428533700973833,RB1(49); CDK4(34); PPARG(25); KDM5A(19); CHEK1(13),moderate
camptothecin,1.11,30.58245636830917,RB1(49); CDK4(34); PPARG(25); KDM5A(19); CHEK1(13),moderate
gemcitabine,10.0,30.149530774606685,RB1(49); CDK4(34); PPARG(25); KDM5A(19); CHEK1(13),moderate
staurosporine,10.0,28.870694418854228,RB1(49); CDK4(34); PPARG(25); KDM5A(19); CHEK1(13),low
GDC-0941,10.0,28.463442050858667,RB1(49); CDK4(34); PPARG(25); KDM5A(19); CHEK1(13),low
SN-38,1.11,25.278244393251267,RB1(49); CDK4(34); PPARG(25); KDM5A(19); CHEK1(13),low
tanespimycin,10.0,25.23437199874743,RB1(49); CDK4(34); PPARG(25); KDM5A(19); CHEK1(13),low
nutlin-3,10.0,24.178196017065847,RB1(49); CDK4(34); PPARG(25); KDM5A(19); CHEK1(13),low
topotecan,1.11,22.30897410968929,RB1(49); CDK4(34); PPARG(25); KDM5A(19); CHEK1(13),low
lapatinib,10.0,22.111347753138073,RB1(49); CDK4(34); PPARG(25); KDM5A(19); CHEK1(13),low
