drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,69.38465959871917,RB1(36); EGR1(24); KDM5A(21); HDAC2(20); CCL2(20),high
docetaxel,10.0,59.95793125007541,RB1(36); EGR1(24); KDM5A(21); HDAC2(20); CCL2(20),high
vinorelbine,10.0,52.548677696791586,RB1(36); EGR1(24); KDM5A(21); HDAC2(20); CCL2(20),high
vinblastine,10.0,48.05651469599866,RB1(36); EGR1(24); KDM5A(21); HDAC2(20); CCL2(20),moderate
temsirolimus,10.0,43.79593452739019,RB1(36); EGR1(24); KDM5A(21); HDAC2(20); CCL2(20),moderate
methotrexate,10.0,43.52732590777056,RB1(36); EGR1(24); KDM5A(21); HDAC2(20); CCL2(20),moderate
MG-132,10.0,33.65612933735002,RB1(36); EGR1(24); KDM5A(21); HDAC2(20); CCL2(20),moderate
lestaurtinib,10.0,30.700569261179226,RB1(36); EGR1(24); KDM5A(21); HDAC2(20); CCL2(20),moderate
navitoclax,10.0,29.49442969252858,RB1(36); EGR1(24); KDM5A(21); HDAC2(20); CCL2(20),low
lapatinib,10.0,27.238960245304863,RB1(36); EGR1(24); KDM5A(21); HDAC2(20); CCL2(20),low
bortezomib,10.0,26.54915213283459,RB1(36); EGR1(24); KDM5A(21); HDAC2(20); CCL2(20),low
ABT-737,10.0,25.563698658512855,RB1(36); EGR1(24); KDM5A(21); HDAC2(20); CCL2(20),low
AZD-6482,10.0,24.071758309196497,RB1(36); EGR1(24); KDM5A(21); HDAC2(20); CCL2(20),low
staurosporine,10.0,23.761612364667954,RB1(36); EGR1(24); KDM5A(21); HDAC2(20); CCL2(20),low
foretinib,10.0,23.034742796752663,RB1(36); EGR1(24); KDM5A(21); HDAC2(20); CCL2(20),low
MK-1775,10.0,22.376724407138877,RB1(36); EGR1(24); KDM5A(21); HDAC2(20); CCL2(20),low
gemcitabine,10.0,20.30824983267424,RB1(36); EGR1(24); KDM5A(21); HDAC2(20); CCL2(20),low
epirubicin,10.0,19.95082576353482,RB1(36); EGR1(24); KDM5A(21); HDAC2(20); CCL2(20),low
sorafenib,10.0,19.11331559662458,RB1(36); EGR1(24); KDM5A(21); HDAC2(20); CCL2(20),low
nilotinib,10.0,16.860187683910198,RB1(36); EGR1(24); KDM5A(21); HDAC2(20); CCL2(20),low
