drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
sirolimus,1.11,100.0,RB1(39); CCL2(28); CASP3(21); HSPB1(14); HDAC2(14),very_high
temsirolimus,0.04,100.0,RB1(39); CCL2(28); CASP3(21); HSPB1(14); HDAC2(14),very_high
docetaxel,1.11,69.13953071302082,RB1(39); CCL2(28); CASP3(21); HSPB1(14); HDAC2(14),high
paclitaxel,10.0,68.80764109448997,RB1(39); CCL2(28); CASP3(21); HSPB1(14); HDAC2(14),high
vinorelbine,10.0,56.39848195494614,RB1(39); CCL2(28); CASP3(21); HSPB1(14); HDAC2(14),high
vinblastine,10.0,55.00512064604186,RB1(39); CCL2(28); CASP3(21); HSPB1(14); HDAC2(14),high
NVP-BEZ235,10.0,41.21225336098587,RB1(39); CCL2(28); CASP3(21); HSPB1(14); HDAC2(14),moderate
NVP-AUY922,1.11,39.60184838778328,RB1(39); CCL2(28); CASP3(21); HSPB1(14); HDAC2(14),moderate
camptothecin,1.11,37.18644647208804,RB1(39); CCL2(28); CASP3(21); HSPB1(14); HDAC2(14),moderate
methotrexate,10.0,36.56694237426509,RB1(39); CCL2(28); CASP3(21); HSPB1(14); HDAC2(14),moderate
lestaurtinib,10.0,36.517524784573105,RB1(39); CCL2(28); CASP3(21); HSPB1(14); HDAC2(14),moderate
GDC-0941,10.0,35.55104496871618,RB1(39); CCL2(28); CASP3(21); HSPB1(14); HDAC2(14),moderate
epirubicin,10.0,34.81949813733817,RB1(39); CCL2(28); CASP3(21); HSPB1(14); HDAC2(14),moderate
gemcitabine,10.0,33.69271522753214,RB1(39); CCL2(28); CASP3(21); HSPB1(14); HDAC2(14),moderate
staurosporine,10.0,32.26165885521854,RB1(39); CCL2(28); CASP3(21); HSPB1(14); HDAC2(14),moderate
SN-38,1.11,32.05515584391984,RB1(39); CCL2(28); CASP3(21); HSPB1(14); HDAC2(14),moderate
nutlin-3,10.0,29.59628280574574,RB1(39); CCL2(28); CASP3(21); HSPB1(14); HDAC2(14),low
topotecan,1.11,29.085885560357806,RB1(39); CCL2(28); CASP3(21); HSPB1(14); HDAC2(14),low
tanespimycin,10.0,29.052894991856203,RB1(39); CCL2(28); CASP3(21); HSPB1(14); HDAC2(14),low
lapatinib,10.0,28.104617855949588,RB1(39); CCL2(28); CASP3(21); HSPB1(14); HDAC2(14),low
