drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,69.40483601967387,PPARG(32); PARP1(12); HMGCR(12); TLR4(11); HES1(10),high
docetaxel,10.0,59.978107671030095,PPARG(32); PARP1(12); HMGCR(12); TLR4(11); HES1(10),high
vinorelbine,10.0,52.29616024784483,PPARG(32); PARP1(12); HMGCR(12); TLR4(11); HES1(10),high
vinblastine,10.0,47.8039972470519,PPARG(32); PARP1(12); HMGCR(12); TLR4(11); HES1(10),moderate
methotrexate,10.0,43.36765470007917,PPARG(32); PARP1(12); HMGCR(12); TLR4(11); HES1(10),moderate
temsirolimus,10.0,43.36479731628593,PPARG(32); PARP1(12); HMGCR(12); TLR4(11); HES1(10),moderate
MG-132,10.0,32.7302714345311,PPARG(32); PARP1(12); HMGCR(12); TLR4(11); HES1(10),moderate
lestaurtinib,10.0,29.156476342341936,PPARG(32); PARP1(12); HMGCR(12); TLR4(11); HES1(10),low
navitoclax,10.0,27.95033677369134,PPARG(32); PARP1(12); HMGCR(12); TLR4(11); HES1(10),low
lapatinib,10.0,26.41873519746553,PPARG(32); PARP1(12); HMGCR(12); TLR4(11); HES1(10),low
bortezomib,10.0,25.577443882601216,PPARG(32); PARP1(12); HMGCR(12); TLR4(11); HES1(10),low
ABT-737,10.0,24.019605739675615,PPARG(32); PARP1(12); HMGCR(12); TLR4(11); HES1(10),low
AZD-6482,10.0,23.250136344477504,PPARG(32); PARP1(12); HMGCR(12); TLR4(11); HES1(10),low
foretinib,10.0,22.942279577116615,PPARG(32); PARP1(12); HMGCR(12); TLR4(11); HES1(10),low
staurosporine,10.0,22.217519445830707,PPARG(32); PARP1(12); HMGCR(12); TLR4(11); HES1(10),low
MK-1775,10.0,21.677710026806945,PPARG(32); PARP1(12); HMGCR(12); TLR4(11); HES1(10),low
gemcitabine,10.0,19.64184058990972,PPARG(32); PARP1(12); HMGCR(12); TLR4(11); HES1(10),low
sorafenib,10.0,18.70701986699594,PPARG(32); PARP1(12); HMGCR(12); TLR4(11); HES1(10),low
epirubicin,10.0,18.406732844697572,PPARG(32); PARP1(12); HMGCR(12); TLR4(11); HES1(10),low
nilotinib,10.0,16.561819887549003,PPARG(32); PARP1(12); HMGCR(12); TLR4(11); HES1(10),low
