drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,0.37,100.0,CCL2(16); CHEK1(13); PPARG(12); EGR1(10); HDAC2(9),very_high
sirolimus,1.11,100.0,CCL2(16); CHEK1(13); PPARG(12); EGR1(10); HDAC2(9),very_high
docetaxel,1.11,67.33184260953136,CCL2(16); CHEK1(13); PPARG(12); EGR1(10); HDAC2(9),high
paclitaxel,10.0,66.63607648793476,CCL2(16); CHEK1(13); PPARG(12); EGR1(10); HDAC2(9),high
vinorelbine,10.0,50.40758592958021,CCL2(16); CHEK1(13); PPARG(12); EGR1(10); HDAC2(9),high
vinblastine,10.0,49.014224620675925,CCL2(16); CHEK1(13); PPARG(12); EGR1(10); HDAC2(9),moderate
NVP-BEZ235,10.0,34.61700631403046,CCL2(16); CHEK1(13); PPARG(12); EGR1(10); HDAC2(9),moderate
NVP-AUY922,1.11,34.52727422492435,CCL2(16); CHEK1(13); PPARG(12); EGR1(10); HDAC2(9),moderate
lestaurtinib,10.0,33.742052932892086,CCL2(16); CHEK1(13); PPARG(12); EGR1(10); HDAC2(9),moderate
methotrexate,10.0,33.43213550471079,CCL2(16); CHEK1(13); PPARG(12); EGR1(10); HDAC2(9),moderate
epirubicin,10.0,32.0440262856571,CCL2(16); CHEK1(13); PPARG(12); EGR1(10); HDAC2(9),moderate
camptothecin,1.11,31.197948952992398,CCL2(16); CHEK1(13); PPARG(12); EGR1(10); HDAC2(9),moderate
gemcitabine,10.0,30.7857428797775,CCL2(16); CHEK1(13); PPARG(12); EGR1(10); HDAC2(9),moderate
staurosporine,10.0,29.468905836107407,CCL2(16); CHEK1(13); PPARG(12); EGR1(10); HDAC2(9),low
GDC-0941,10.0,29.023634887412307,CCL2(16); CHEK1(13); PPARG(12); EGR1(10); HDAC2(9),low
SN-38,1.11,25.893736977934502,CCL2(16); CHEK1(13); PPARG(12); EGR1(10); HDAC2(9),low
tanespimycin,10.0,25.832583416000602,CCL2(16); CHEK1(13); PPARG(12); EGR1(10); HDAC2(9),low
nutlin-3,10.0,24.786855106547776,CCL2(16); CHEK1(13); PPARG(12); EGR1(10); HDAC2(9),low
topotecan,1.11,22.924466694372526,CCL2(16); CHEK1(13); PPARG(12); EGR1(10); HDAC2(9),low
lapatinib,10.0,22.280306662031137,CCL2(16); CHEK1(13); PPARG(12); EGR1(10); HDAC2(9),low
