drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,0.37,100.0,CCL2(20); KDM5A(17); EGR1(17); CHEK1(15); PPARG(12),very_high
sirolimus,1.11,100.0,CCL2(20); KDM5A(17); EGR1(17); CHEK1(15); PPARG(12),very_high
docetaxel,1.11,67.38162400575513,CCL2(20); KDM5A(17); EGR1(17); CHEK1(15); PPARG(12),high
paclitaxel,10.0,66.68585788415852,CCL2(20); KDM5A(17); EGR1(17); CHEK1(15); PPARG(12),high
vinorelbine,10.0,50.45736732580393,CCL2(20); KDM5A(17); EGR1(17); CHEK1(15); PPARG(12),high
vinblastine,10.0,49.06400601689965,CCL2(20); KDM5A(17); EGR1(17); CHEK1(15); PPARG(12),moderate
NVP-AUY922,1.11,34.583889116349376,CCL2(20); KDM5A(17); EGR1(17); CHEK1(15); PPARG(12),moderate
NVP-BEZ235,10.0,34.51939549046478,CCL2(20); KDM5A(17); EGR1(17); CHEK1(15); PPARG(12),moderate
lestaurtinib,10.0,33.644442109326405,CCL2(20); KDM5A(17); EGR1(17); CHEK1(15); PPARG(12),moderate
methotrexate,10.0,33.481916900934515,CCL2(20); KDM5A(17); EGR1(17); CHEK1(15); PPARG(12),moderate
epirubicin,10.0,32.07652651445075,CCL2(20); KDM5A(17); EGR1(17); CHEK1(15); PPARG(12),moderate
camptothecin,1.11,31.230449181786078,CCL2(20); KDM5A(17); EGR1(17); CHEK1(15); PPARG(12),moderate
gemcitabine,10.0,30.81824310857119,CCL2(20); KDM5A(17); EGR1(17); CHEK1(15); PPARG(12),moderate
staurosporine,10.0,29.388576179971796,CCL2(20); KDM5A(17); EGR1(17); CHEK1(15); PPARG(12),low
GDC-0941,10.0,29.056135116205986,CCL2(20); KDM5A(17); EGR1(17); CHEK1(15); PPARG(12),low
SN-38,1.11,25.92623720672818,CCL2(20); KDM5A(17); EGR1(17); CHEK1(15); PPARG(12),low
tanespimycin,10.0,25.882364812224345,CCL2(20); KDM5A(17); EGR1(17); CHEK1(15); PPARG(12),low
nutlin-3,10.0,24.826188830542762,CCL2(20); KDM5A(17); EGR1(17); CHEK1(15); PPARG(12),low
topotecan,1.11,22.956966923166206,CCL2(20); KDM5A(17); EGR1(17); CHEK1(15); PPARG(12),low
lapatinib,10.0,22.330088058254873,CCL2(20); KDM5A(17); EGR1(17); CHEK1(15); PPARG(12),low
