drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,69.49268470316382,CCL2(28); EGR1(21); HDAC2(18); RB1(16); AKT1(11),high
docetaxel,10.0,60.06595635452007,CCL2(28); EGR1(21); HDAC2(18); RB1(16); AKT1(11),high
vinorelbine,10.0,52.86713943093758,CCL2(28); EGR1(21); HDAC2(18); RB1(16); AKT1(11),high
vinblastine,10.0,48.37497643014464,CCL2(28); EGR1(21); HDAC2(18); RB1(16); AKT1(11),moderate
methotrexate,10.0,44.19874739630779,CCL2(28); EGR1(21); HDAC2(18); RB1(16); AKT1(11),moderate
temsirolimus,10.0,43.51358036076671,CCL2(28); EGR1(21); HDAC2(18); RB1(16); AKT1(11),moderate
MG-132,10.0,33.974591071496,CCL2(28); EGR1(21); HDAC2(18); RB1(16); AKT1(11),moderate
lestaurtinib,10.0,29.744319721042856,CCL2(28); EGR1(21); HDAC2(18); RB1(16); AKT1(11),low
navitoclax,10.0,27.996755651239866,CCL2(28); EGR1(21); HDAC2(18); RB1(16); AKT1(11),low
lapatinib,10.0,27.51157163203642,CCL2(28); EGR1(21); HDAC2(18); RB1(16); AKT1(11),low
bortezomib,10.0,26.821763519566133,CCL2(28); EGR1(21); HDAC2(18); RB1(16); AKT1(11),low
AZD-6482,10.0,24.331781947021742,CCL2(28); EGR1(21); HDAC2(18); RB1(16); AKT1(11),low
ABT-737,10.0,24.06602461722414,CCL2(28); EGR1(21); HDAC2(18); RB1(16); AKT1(11),low
foretinib,10.0,22.992230866897692,CCL2(28); EGR1(21); HDAC2(18); RB1(16); AKT1(11),low
staurosporine,10.0,22.805362824531628,CCL2(28); EGR1(21); HDAC2(18); RB1(16); AKT1(11),low
MK-1775,10.0,22.438899164169094,CCL2(28); EGR1(21); HDAC2(18); RB1(16); AKT1(11),low
gemcitabine,10.0,20.47293328613835,CCL2(28); EGR1(21); HDAC2(18); RB1(16); AKT1(11),low
sorafenib,10.0,19.60917637121857,CCL2(28); EGR1(21); HDAC2(18); RB1(16); AKT1(11),low
epirubicin,10.0,18.97417961555778,CCL2(28); EGR1(21); HDAC2(18); RB1(16); AKT1(11),low
nilotinib,10.0,17.132799070641756,CCL2(28); EGR1(21); HDAC2(18); RB1(16); AKT1(11),low
