drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,71.81449066839558,PPARG(16); KDM5A(16); RB1(13); CHEK1(11); CDKN1B(11),very_high
docetaxel,10.0,60.6256383082453,PPARG(16); KDM5A(16); RB1(13); CHEK1(11); CDKN1B(11),high
vinorelbine,10.0,54.7058148965666,PPARG(16); KDM5A(16); RB1(13); CHEK1(11); CDKN1B(11),high
vinblastine,10.0,50.21365189577367,PPARG(16); KDM5A(16); RB1(13); CHEK1(11); CDKN1B(11),high
methotrexate,10.0,45.72256004048537,PPARG(16); KDM5A(16); RB1(13); CHEK1(11); CDKN1B(11),moderate
temsirolimus,10.0,44.79917095153045,PPARG(16); KDM5A(16); RB1(13); CHEK1(11); CDKN1B(11),moderate
MG-132,10.0,35.08517677493732,PPARG(16); KDM5A(16); RB1(13); CHEK1(11); CDKN1B(11),moderate
lestaurtinib,10.0,30.574054209355428,PPARG(16); KDM5A(16); RB1(13); CHEK1(11); CDKN1B(11),moderate
lapatinib,10.0,28.87163537129608,PPARG(16); KDM5A(16); RB1(13); CHEK1(11); CDKN1B(11),low
bortezomib,10.0,27.932349223007417,PPARG(16); KDM5A(16); RB1(13); CHEK1(11); CDKN1B(11),low
navitoclax,10.0,27.58499353409957,PPARG(16); KDM5A(16); RB1(13); CHEK1(11); CDKN1B(11),low
AZD-6482,10.0,25.592453935977407,PPARG(16); KDM5A(16); RB1(13); CHEK1(11); CDKN1B(11),low
MK-1775,10.0,24.049411135444196,PPARG(16); KDM5A(16); RB1(13); CHEK1(11); CDKN1B(11),low
ABT-737,10.0,23.654262500083853,PPARG(16); KDM5A(16); RB1(13); CHEK1(11); CDKN1B(11),low
staurosporine,10.0,23.63509731284417,PPARG(16); KDM5A(16); RB1(13); CHEK1(11); CDKN1B(11),low
foretinib,10.0,23.606605982562865,PPARG(16); KDM5A(16); RB1(13); CHEK1(11); CDKN1B(11),low
gemcitabine,10.0,21.99674593031592,PPARG(16); KDM5A(16); RB1(13); CHEK1(11); CDKN1B(11),low
sorafenib,10.0,21.464647605078632,PPARG(16); KDM5A(16); RB1(13); CHEK1(11); CDKN1B(11),low
epirubicin,10.0,19.803914103870316,PPARG(16); KDM5A(16); RB1(13); CHEK1(11); CDKN1B(11),low
nilotinib,10.0,18.988270304501818,PPARG(16); KDM5A(16); RB1(13); CHEK1(11); CDKN1B(11),low
