drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,0.12,100.0,JUN(35); HES1(28); PPARG(27); AXIN1(21); PMAIP1(19),very_high
sirolimus,0.04,100.0,JUN(35); HES1(28); PPARG(27); AXIN1(21); PMAIP1(19),very_high
docetaxel,1.11,68.18815528856412,JUN(35); HES1(28); PPARG(27); AXIN1(21); PMAIP1(19),high
paclitaxel,10.0,67.49238916696751,JUN(35); HES1(28); PPARG(27); AXIN1(21); PMAIP1(19),high
vinorelbine,10.0,50.043170538893094,JUN(35); HES1(28); PPARG(27); AXIN1(21); PMAIP1(19),high
vinblastine,10.0,48.64980922998882,JUN(35); HES1(28); PPARG(27); AXIN1(21); PMAIP1(19),moderate
NVP-AUY922,1.11,36.33468239344499,JUN(35); HES1(28); PPARG(27); AXIN1(21); PMAIP1(19),moderate
NVP-BEZ235,10.0,36.28746993499045,JUN(35); HES1(28); PPARG(27); AXIN1(21); PMAIP1(19),moderate
lestaurtinib,10.0,35.41251655385207,JUN(35); HES1(28); PPARG(27); AXIN1(21); PMAIP1(19),moderate
epirubicin,10.0,33.8446009589765,JUN(35); HES1(28); PPARG(27); AXIN1(21); PMAIP1(19),moderate
methotrexate,10.0,32.982270477241315,JUN(35); HES1(28); PPARG(27); AXIN1(21); PMAIP1(19),moderate
camptothecin,1.11,32.66768894769774,JUN(35); HES1(28); PPARG(27); AXIN1(21); PMAIP1(19),moderate
gemcitabine,10.0,32.036092474041794,JUN(35); HES1(28); PPARG(27); AXIN1(21); PMAIP1(19),moderate
staurosporine,10.0,31.139369457067442,JUN(35); HES1(28); PPARG(27); AXIN1(21); PMAIP1(19),moderate
GDC-0941,10.0,30.421242817941806,JUN(35); HES1(28); PPARG(27); AXIN1(21); PMAIP1(19),moderate
SN-38,1.11,27.694311651253884,JUN(35); HES1(28); PPARG(27); AXIN1(21); PMAIP1(19),low
tanespimycin,10.0,27.082933010264902,JUN(35); HES1(28); PPARG(27); AXIN1(21); PMAIP1(19),low
nutlin-3,10.0,25.40917357848121,JUN(35); HES1(28); PPARG(27); AXIN1(21); PMAIP1(19),low
topotecan,1.11,24.39420668907782,JUN(35); HES1(28); PPARG(27); AXIN1(21); PMAIP1(19),low
lapatinib,10.0,23.72103267417706,JUN(35); HES1(28); PPARG(27); AXIN1(21); PMAIP1(19),low
