drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,1.11,100.0,CCL2(28); RB1(26); PPARG(25); CHEK1(18); HSPB1(14),very_high
sirolimus,1.11,99.39960267187763,CCL2(28); RB1(26); PPARG(25); CHEK1(18); HSPB1(14),very_high
paclitaxel,10.0,68.62175269071645,CCL2(28); RB1(26); PPARG(25); CHEK1(18); HSPB1(14),high
docetaxel,1.11,68.52366201774792,CCL2(28); RB1(26); PPARG(25); CHEK1(18); HSPB1(14),high
vinorelbine,10.0,55.892811708628514,CCL2(28); RB1(26); PPARG(25); CHEK1(18); HSPB1(14),high
vinblastine,10.0,54.49945039972424,CCL2(28); RB1(26); PPARG(25); CHEK1(18); HSPB1(14),high
NVP-BEZ235,10.0,40.5764720623089,CCL2(28); RB1(26); PPARG(25); CHEK1(18); HSPB1(14),moderate
NVP-AUY922,1.11,38.90907087476037,CCL2(28); RB1(26); PPARG(25); CHEK1(18); HSPB1(14),moderate
camptothecin,1.11,36.49366895906513,CCL2(28); RB1(26); PPARG(25); CHEK1(18); HSPB1(14),moderate
methotrexate,10.0,35.76550120888132,CCL2(28); RB1(26); PPARG(25); CHEK1(18); HSPB1(14),moderate
lestaurtinib,10.0,35.58597256682998,CCL2(28); RB1(26); PPARG(25); CHEK1(18); HSPB1(14),moderate
GDC-0941,10.0,35.2861330349399,CCL2(28); RB1(26); PPARG(25); CHEK1(18); HSPB1(14),moderate
epirubicin,10.0,33.8638783730877,CCL2(28); RB1(26); PPARG(25); CHEK1(18); HSPB1(14),moderate
gemcitabine,10.0,33.03315352395261,CCL2(28); RB1(26); PPARG(25); CHEK1(18); HSPB1(14),moderate
SN-38,1.11,31.362378330896966,CCL2(28); RB1(26); PPARG(25); CHEK1(18); HSPB1(14),moderate
staurosporine,10.0,30.734860045706927,CCL2(28); RB1(26); PPARG(25); CHEK1(18); HSPB1(14),moderate
nutlin-3,10.0,29.039710447779147,CCL2(28); RB1(26); PPARG(25); CHEK1(18); HSPB1(14),low
topotecan,1.11,28.3931080473349,CCL2(28); RB1(26); PPARG(25); CHEK1(18); HSPB1(14),low
tanespimycin,10.0,28.2317182266022,CCL2(28); RB1(26); PPARG(25); CHEK1(18); HSPB1(14),low
lapatinib,10.0,27.432953526223642,CCL2(28); RB1(26); PPARG(25); CHEK1(18); HSPB1(14),low
