drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,71.30568167549718,PPARG(29); CCL2(29); RB1(26); SRC(24); HSPB1(20),very_high
docetaxel,10.0,61.878953326853406,PPARG(29); CCL2(29); RB1(26); SRC(24); HSPB1(20),high
vinorelbine,10.0,53.80531866065801,PPARG(29); CCL2(29); RB1(26); SRC(24); HSPB1(20),high
vinblastine,10.0,49.5225590263737,PPARG(29); CCL2(29); RB1(26); SRC(24); HSPB1(20),moderate
methotrexate,10.0,46.255615091208625,PPARG(29); CCL2(29); RB1(26); SRC(24); HSPB1(20),moderate
temsirolimus,10.0,45.50625138401853,PPARG(29); CCL2(29); RB1(26); SRC(24); HSPB1(20),moderate
MG-132,10.0,36.46766515677401,PPARG(29); CCL2(29); RB1(26); SRC(24); HSPB1(20),moderate
lestaurtinib,10.0,33.13878851651452,PPARG(29); CCL2(29); RB1(26); SRC(24); HSPB1(20),moderate
lapatinib,10.0,30.731236006725172,PPARG(29); CCL2(29); RB1(26); SRC(24); HSPB1(20),moderate
navitoclax,10.0,30.27094250184147,PPARG(29); CCL2(29); RB1(26); SRC(24); HSPB1(20),moderate
bortezomib,10.0,29.60560640418819,PPARG(29); CCL2(29); RB1(26); SRC(24); HSPB1(20),low
AZD-6482,10.0,26.589294212578096,PPARG(29); CCL2(29); RB1(26); SRC(24); HSPB1(20),low
staurosporine,10.0,26.48094790989729,PPARG(29); CCL2(29); RB1(26); SRC(24); HSPB1(20),low
ABT-737,10.0,26.340211467825746,PPARG(29); CCL2(29); RB1(26); SRC(24); HSPB1(20),low
foretinib,10.0,25.240449292152658,PPARG(29); CCL2(29); RB1(26); SRC(24); HSPB1(20),low
MK-1775,10.0,24.93368014626353,PPARG(29); CCL2(29); RB1(26); SRC(24); HSPB1(20),low
gemcitabine,10.0,23.817350880507203,PPARG(29); CCL2(29); RB1(26); SRC(24); HSPB1(20),low
epirubicin,10.0,22.673383306542743,PPARG(29); CCL2(29); RB1(26); SRC(24); HSPB1(20),low
sorafenib,10.0,22.188771650177124,PPARG(29); CCL2(29); RB1(26); SRC(24); HSPB1(20),low
nilotinib,10.0,19.60446641633287,PPARG(29); CCL2(29); RB1(26); SRC(24); HSPB1(20),low
