drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,68.84167154239272,CCL2(35); RB1(27); KDM5A(20); BRCA1(17); CASP3(13),high
docetaxel,10.0,59.41494319374895,CCL2(35); RB1(27); KDM5A(20); BRCA1(17); CASP3(13),high
vinorelbine,10.0,52.066039984652086,CCL2(35); RB1(27); KDM5A(20); BRCA1(17); CASP3(13),high
vinblastine,10.0,47.57387698385915,CCL2(35); RB1(27); KDM5A(20); BRCA1(17); CASP3(13),moderate
methotrexate,10.0,44.177325950233666,CCL2(35); RB1(27); KDM5A(20); BRCA1(17); CASP3(13),moderate
temsirolimus,10.0,43.1708941377925,CCL2(35); RB1(27); KDM5A(20); BRCA1(17); CASP3(13),moderate
MG-132,10.0,33.49409233727112,CCL2(35); RB1(27); KDM5A(20); BRCA1(17); CASP3(13),moderate
lestaurtinib,10.0,28.96257316384849,CCL2(35); RB1(27); KDM5A(20); BRCA1(17); CASP3(13),low
navitoclax,10.0,27.235405701886226,CCL2(35); RB1(27); KDM5A(20); BRCA1(17); CASP3(13),low
lapatinib,10.0,27.22840644762002,CCL2(35); RB1(27); KDM5A(20); BRCA1(17); CASP3(13),low
bortezomib,10.0,26.387115132755692,CCL2(35); RB1(27); KDM5A(20); BRCA1(17); CASP3(13),low
AZD-6482,10.0,24.04721984572568,CCL2(35); RB1(27); KDM5A(20); BRCA1(17); CASP3(13),low
ABT-737,10.0,23.3046746678705,CCL2(35); RB1(27); KDM5A(20); BRCA1(17); CASP3(13),low
foretinib,10.0,22.23698176802664,CCL2(35); RB1(27); KDM5A(20); BRCA1(17); CASP3(13),low
MK-1775,10.0,22.154337062873026,CCL2(35); RB1(27); KDM5A(20); BRCA1(17); CASP3(13),low
staurosporine,10.0,22.023616267337268,CCL2(35); RB1(27); KDM5A(20); BRCA1(17); CASP3(13),low
gemcitabine,10.0,20.451511840064196,CCL2(35); RB1(27); KDM5A(20); BRCA1(17); CASP3(13),low
sorafenib,10.0,18.85392727234752,CCL2(35); RB1(27); KDM5A(20); BRCA1(17); CASP3(13),low
epirubicin,10.0,18.212829666204133,CCL2(35); RB1(27); KDM5A(20); BRCA1(17); CASP3(13),low
nilotinib,10.0,16.377549971770705,CCL2(35); RB1(27); KDM5A(20); BRCA1(17); CASP3(13),low
